game_date,home_team,away_team,snapshot_time,commence_time,game_id,ml_away,ml_home,num_books,scraped_at,season,source,source_file,source_system,source_type,spread_home,spread_home_juice,total,total_over_juice
2026-07-07,New York Liberty,Dallas Wings,2026-07-08T00:00:00Z,2026-07-08T00:00:00Z,a5c10cf00d97057ef1bd2f450afb222d,172.0,-211.5,2,2026-07-06T11:44:07.270356,2026,the-odds-api+last_known,odds_2026-07-07.csv|odds_2026-07-08.csv,repository_raw,odds_2026_07_07|odds_2026_07_08,-5.5,-109.5,175.5,-110.5
2026-07-07,Phoenix Mercury,Chicago Sky,2026-07-08T02:00:00Z,2026-07-08T02:00:00Z,2077ab7ab8e6b6e3437a042a329a944f,137.0,-166.0,2,2026-07-06T11:44:07.270368,2026,the-odds-api+last_known,odds_2026-07-07.csv|odds_2026-07-08.csv,repository_raw,odds_2026_07_07|odds_2026_07_08,-3.5,-112.5,173.0,-108.0
2026-07-07,Washington Mystics,Golden State Valkyries,2026-07-06T23:40:00Z,2026-07-06T23:40:00Z,1fbe348b23c9f547e63ce18ccf0888db,-219.22,179.56,9,2026-07-06T11:44:07.270282,2026,the-odds-api+last_known,odds_2026-07-07.csv|odds_2026-07-08.csv,repository_raw,odds_2026_07_07|odds_2026_07_08,5.44,-108.67,156.33,-110.11
2026-07-09,Atlanta Dream,Seattle Storm,2026-07-10T00:09:18Z,2026-07-10T00:09:18Z,bbda183d9dc2a8ed43f79f82ef0ac320,1600.0,-10000.0,8,2026-07-10T01:55:47.800209+00:00,2026,the-odds-api,odds_2026-07-09.csv|odds_historical.csv,repository_raw,odds_2026_07_09|odds_historical,-14.19,-110.12,171.86,-116.43
2026-07-09,Connecticut Sun,Golden State Valkyries,2026-07-10T23:40:00Z,2026-07-10T23:40:00Z,1547b39904db439304af0dfdacaa469d,-337.14,261.43,11,2026-07-10T01:55:47.800329+00:00,2026,the-odds-api,odds_2026-07-09.csv|odds_historical.csv,repository_raw,odds_2026_07_09|odds_historical,7.59,-109.55,153.95,-108.73
2026-07-09,Los Angeles Sparks,Chicago Sky,2026-07-11T02:10:00Z,2026-07-11T02:10:00Z,14c1ed8012d1c1a70778c1d1aa348e83,13.0,-119.86,11,2026-07-10T01:55:47.800380+00:00,2026,the-odds-api,odds_2026-07-09.csv|odds_historical.csv,repository_raw,odds_2026_07_09|odds_historical,-0.72,-113.33,180.59,-110.27
2026-07-09,Minnesota Lynx,New York Liberty,2026-07-11T17:00:00Z,2026-07-11T17:00:00Z,93c27f5318a98fdd2a9bfbc42269f134,130.75,-159.5,4,2026-07-10T01:55:47.800400+00:00,2026,the-odds-api,odds_2026-07-09.csv|odds_historical.csv,repository_raw,odds_2026_07_09|odds_historical,-3.5,-109.5,173.0,-110.0
2026-07-09,Phoenix Mercury,Indiana Fever,2026-07-10T02:10:00Z,2026-07-10T02:10:00Z,80aa9418f4995bd78f131b2ede793c1c,-123.09,48.0,11,2026-07-10T01:55:47.800278+00:00,2026,the-odds-api,odds_2026-07-09.csv|odds_historical.csv,repository_raw,odds_2026_07_09|odds_historical,1.27,-109.82,171.64,-112.73
2026-07-09,Portland Fire,Las Vegas Aces,2026-07-10T02:05:00Z,2026-07-10T02:05:00Z,803d077d9e5f6f5b156f4a2be5ad2ec5,-493.64,367.82,11,2026-07-10T01:55:47.800247+00:00,2026,the-odds-api,odds_2026-07-09.csv|odds_historical.csv,repository_raw,odds_2026_07_09|odds_historical,9.95,-111.27,175.36,-110.73
2026-07-09,Toronto Tempo,Dallas Wings,2026-07-10T23:40:00Z,2026-07-10T23:40:00Z,7295f7e8db8d22124fdf261cda31a1f6,-273.29,216.14,11,2026-07-10T01:55:47.800355+00:00,2026,the-odds-api,odds_2026-07-09.csv|odds_historical.csv,repository_raw,odds_2026_07_09|odds_historical,6.68,-109.0,180.23,-109.09
