game_id,game_date,team,player,position,minutes,fgm,fga,threes,fta,ftm,reb,ast,stl,blk,tov,pf,pts,opponent,opponent_abbr,team_abbr,team_logo,source
401857092,2026-07-28,Connecticut Sun,Aaliyah Edwards,F,,,,,,,,,,,,,,Washington Mystics,WSH,CON,https://a.espncdn.com/i/teamlogos/wnba/500/con.png,wehoop_espn
401857092,2026-07-28,Washington Mystics,Alicia Florez,G,5,0,2,0,0,0,1,0,0,0,0,1,0,Connecticut Sun,CON,WSH,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,wehoop_espn
401857092,2026-07-28,Connecticut Sun,Aneesah Morrow,F,26,8,16,4,4,1,4,4,2,0,1,5,21,Washington Mystics,WSH,CON,https://a.espncdn.com/i/teamlogos/wnba/500/con.png,wehoop_espn
401857092,2026-07-28,Washington Mystics,Angela Dugalic,F,4,0,0,0,0,0,1,1,0,0,2,1,0,Connecticut Sun,CON,WSH,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,wehoop_espn
401857092,2026-07-28,Connecticut Sun,Ashlon Jackson,G,,,,,,,,,,,,,,Washington Mystics,WSH,CON,https://a.espncdn.com/i/teamlogos/wnba/500/con.png,wehoop_espn
401857092,2026-07-28,Connecticut Sun,Brittney Griner,C,,,,,,,,,,,,,,Washington Mystics,WSH,CON,https://a.espncdn.com/i/teamlogos/wnba/500/con.png,wehoop_espn
401857092,2026-07-28,Washington Mystics,Cassandre Prosper,G,3,0,0,0,0,0,0,0,0,0,0,0,0,Connecticut Sun,CON,WSH,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,wehoop_espn
401857092,2026-07-28,Connecticut Sun,Charlisse Leger-Walker,G,23,0,3,0,2,2,3,8,0,0,3,4,2,Washington Mystics,WSH,CON,https://a.espncdn.com/i/teamlogos/wnba/500/con.png,wehoop_espn
401857092,2026-07-28,Washington Mystics,Cotie McMahon,G,22,2,5,0,8,7,2,2,0,2,0,1,11,Connecticut Sun,CON,WSH,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,wehoop_espn
401857092,2026-07-28,Washington Mystics,Darianna Littlepage-Buggs,G,,,,,,,,,,,,,,Connecticut Sun,CON,WSH,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,wehoop_espn
