game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-07-30,Connecticut Sun,Aaliyah Edwards,,,Out,OUT,Injury/Illness - Right Knee; -,Injury/Illness - Right Knee; -; matchup=(ET) CON@CHI; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Connecticut Sun,Brittney Griner,,,Out,OUT,Injury/Illness - Left Knee; -,Injury/Illness - Left Knee; -; matchup=(ET) CON@CHI; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Connecticut Sun,Ashlon Jackson,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) CON@CHI; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Chicago Sky,Skylar Diggins,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=(ET) CON@CHI; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Chicago Sky,Azura Stevens,,,Out,OUT,Personal Reasons,Personal Reasons; matchup=(ET) CON@CHI; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Chicago Sky,Maddy Westbeld,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) CON@CHI; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Minnesota Lynx,Emma Cechova,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=MIN@TOR; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Minnesota Lynx,Liatu King,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=MIN@TOR; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Toronto Tempo,Ornella Bankole,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=MIN@TOR; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Toronto Tempo,Isabelle Harrison,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=MIN@TOR; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Toronto Tempo,Brittney Sykes,,,Out,OUT,Injury/Illness - Left Foot; Injury,Injury/Illness - Left Foot; Injury; matchup=MIN@TOR; game_time=08:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,New York Liberty,Leonie Fiebich,,,Out,OUT,Injury/Illness - Left Foot; L. Foot,Injury/Illness - Left Foot; L. Foot; matchup=(ET) NYL@LVA; game_time=10:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,New York Liberty,Anneli Maley,,,Out,OUT,,; matchup=(ET) NYL@LVA; game_time=10:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,New York Liberty,Satou Sabally,,,Out,OUT,Concussion Protocol,Concussion Protocol; matchup=(ET) NYL@LVA; game_time=10:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Las Vegas Aces,Kierstan Bell,,,Out,OUT,Injury/Illness - Right Leg; R. Leg,Injury/Illness - Right Leg; R. Leg; matchup=(ET) NYL@LVA; game_time=10:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Las Vegas Aces,Cheyenne Parker-Tyus,,,Out,OUT,Concussion Protocol,Concussion Protocol; matchup=(ET) NYL@LVA; game_time=10:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Seattle Storm,Taina Mair,,,Out,OUT,Coach's Decision - Coach's Decision,Coach's Decision - Coach's Decision; matchup=(ET) SEA@ATL; game_time=07:30,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Seattle Storm,Dominique Malonga,,,Probable,PROBABLE,Injury/Illness - Back; Injury/Illness,Injury/Illness - Back; Injury/Illness; matchup=(ET) SEA@ATL; game_time=07:30,,False,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Atlanta Dream,Te-Hina Paopao,,,Out,OUT,Injury/Illness - Right Leg; N/A,Injury/Illness - Right Leg; N/A; matchup=(ET) SEA@ATL; game_time=07:30,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Indiana Fever,Monique Billings,,,Probable,PROBABLE,Injury/Illness - Left Hip; Hip,Injury/Illness - Left Hip; Hip; matchup=(ET) IND@PDX; game_time=10:00,,False,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Indiana Fever,Aliyah Boston,,,Probable,PROBABLE,Injury/Illness - Right Leg; Lower,Injury/Illness - Right Leg; Lower; matchup=(ET) IND@PDX; game_time=10:00,,False,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Indiana Fever,Caitlin Clark,,,Probable,PROBABLE,Injury/Illness - Back; Back,Injury/Illness - Back; Back; matchup=(ET) IND@PDX; game_time=10:00,,False,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
2026-07-30,Indiana Fever,Damiris Dantas,,,Out,OUT,Not With Team,Not With Team; matchup=(ET) IND@PDX; game_time=10:00,,True,official_wnba_pdf,2026-07-31T03:47:59.307045+00:00
