game_date,event_id,player,team,position,opp_team,is_home,stat_raw,stat,line,over_price,under_price,yes_price,no_price,num_books,sportsbooks,odds_type,game_time,home_team,away_team,source,scraped_at
2026-09-24,02322b02e336b41d9c97a97cc1c19ac4,Caitlin Clark,Indiana Fever,,Indiana Fever @ Minnesota Lynx,False,3pm,3pm,2.5,-172.0,126.0,,,1,draftkings,sportsbook,2026-09-25T00:00:00Z,Minnesota Lynx,Indiana Fever,canonical-player-props-cache,2026-09-24T15:08:50.700881+00:00
2026-09-24,02322b02e336b41d9c97a97cc1c19ac4,Caitlin Clark,Indiana Fever,,Indiana Fever @ Minnesota Lynx,False,player_assists,ast,8.5,-138.0,102.0,,,1,draftkings,sportsbook,2026-09-25T00:00:00Z,Minnesota Lynx,Indiana Fever,canonical-player-props-cache,2026-09-24T15:08:50.700881+00:00
2026-09-24,02322b02e336b41d9c97a97cc1c19ac4,Caitlin Clark,Indiana Fever,,Indiana Fever @ Minnesota Lynx,False,player_points_assists,pa,30.5,-118.0,-115.0,,,1,draftkings,sportsbook,2026-09-25T00:00:00Z,Minnesota Lynx,Indiana Fever,canonical-player-props-cache,2026-09-24T15:08:50.700881+00:00
2026-09-24,02322b02e336b41d9c97a97cc1c19ac4,Caitlin Clark,Indiana Fever,,Indiana Fever @ Minnesota Lynx,False,player_points_rebounds,pr,25.5,-120.0,-113.0,,,1,draftkings,sportsbook,2026-09-25T00:00:00Z,Minnesota Lynx,Indiana Fever,canonical-player-props-cache,2026-09-24T15:08:50.700881+00:00
2026-09-24,02322b02e336b41d9c97a97cc1c19ac4,Caitlin Clark,Indiana Fever,,Indiana Fever @ Minnesota Lynx,False,player_points_rebounds_assists,pra,34.5,-125.0,-109.0,,,1,draftkings,sportsbook,2026-09-25T00:00:00Z,Minnesota Lynx,Indiana Fever,canonical-player-props-cache,2026-09-24T15:08:50.700881+00:00
2026-09-24,02322b02e336b41d9c97a97cc1c19ac4,Caitlin Clark,Indiana Fever,,Indiana Fever @ Minnesota Lynx,False,player_points,pts,21.5,-111.0,-119.0,,,1,draftkings,sportsbook,2026-09-25T00:00:00Z,Minnesota Lynx,Indiana Fever,canonical-player-props-cache,2026-09-24T15:08:50.700881+00:00
2026-09-24,02322b02e336b41d9c97a97cc1c19ac4,Caitlin Clark,Indiana Fever,,Indiana Fever @ Minnesota Lynx,False,player_rebounds_assists,ra,13.5,103.0,-140.0,,,1,draftkings,sportsbook,2026-09-25T00:00:00Z,Minnesota Lynx,Indiana Fever,canonical-player-props-cache,2026-09-24T15:08:50.700881+00:00
2026-09-24,02322b02e336b41d9c97a97cc1c19ac4,Caitlin Clark,Indiana Fever,,Indiana Fever @ Minnesota Lynx,False,player_rebounds,reb,3.5,-150.0,111.0,,,1,draftkings,sportsbook,2026-09-25T00:00:00Z,Minnesota Lynx,Indiana Fever,canonical-player-props-cache,2026-09-24T15:08:50.700881+00:00
2026-09-24,02322b02e336b41d9c97a97cc1c19ac4,Kelsey Mitchell,Indiana Fever,,Indiana Fever @ Minnesota Lynx,False,3pm,3pm,3.5,137.0,-188.0,,,1,draftkings,sportsbook,2026-09-25T00:00:00Z,Minnesota Lynx,Indiana Fever,canonical-player-props-cache,2026-09-24T15:08:50.700881+00:00
2026-09-24,02322b02e336b41d9c97a97cc1c19ac4,Kelsey Mitchell,Indiana Fever,,Indiana Fever @ Minnesota Lynx,False,player_points,pts,24.5,-107.0,-124.0,,,1,draftkings,sportsbook,2026-09-25T00:00:00Z,Minnesota Lynx,Indiana Fever,canonical-player-props-cache,2026-09-24T15:08:50.700881+00:00
