game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-08-24,Minnesota Lynx,Courtney Williams,,,Out,OUT,Injury/Illness - Right Foot; Right Foot,Injury/Illness - Right Foot; Right Foot; matchup=(ET) GSV@MIN; game_time=08:00,,True,official_wnba_pdf,2026-08-24T13:12:03.629785+00:00
2026-08-24,Atlanta Dream,Brionna Jones,,,Out,OUT,Injury/Illness - Left Leg; N/A,Injury/Illness - Left Leg; N/A; matchup=(ET) ATL@LAS; game_time=10:00,,True,official_wnba_pdf,2026-08-24T13:12:03.629785+00:00
