player,team,opp,pos,stat,season_avg,pred,low,high,range,line,over_price,under_price,yes_price,no_price,edge,signal,conf,model_prob,implied_prob,ev,ev_pct,kelly_frac,injury_status,market_status,is_active,filter_reason,reasoning,game,home_team,away_team,last5_vals,last5_opps,last5_hit,last10_hit,h2h_last5,opp_rank,role_score,minutes_trend,points_trend,intel_source,history_games,history_latest_date,history_source
Diamond Miller,,Connecticut Sun @ Phoenix Mercury,,PTS,8.2,6.8,3.3,10.3,3.3-10.3,8.5,-117.5,-110.67,,,-1.7,UNDER,MED,0.5492,0.5253,0.0455,4.5,0.0126,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Connecticut Sun @ Phoenix Mercury,Phoenix Mercury,Connecticut Sun,"[3.0, 14.0, 13.0, 5.0, 3.0]","[""Fire"", ""Valkyries"", ""Lynx"", ""Lynx"", ""Wings""]",0.6,0.6,"[5.0, 8.2, 7.2, 6.3, 5.4]",8,0,,,,10.0,2026-07-14,wnba_player_game_logs
Angel Reese,,Atlanta Dream @ Toronto Tempo,,PR,25.7,26.6,23.1,30.1,23.1-30.1,28.5,-119.0,-113.0,,,-1.9,UNDER,MED,0.5544,0.5305,0.045,4.5,0.0127,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Atlanta Dream @ Toronto Tempo,Toronto Tempo,Atlanta Dream,"[36.0, 29.0, 30.0, 26.0, 26.0]","[""Sparks"", ""Storm"", ""Valkyries"", ""Mystics"", ""Storm""]",0.4,0.6,"[26.2, 25.2, 28.4, 27.5, 26.6]",10,0,,,,10.0,2026-07-13,wnba_player_game_logs
Caitlin Clark,,Seattle Storm @ Indiana Fever,,PRA,30.6,28.0,24.5,31.5,24.5-31.5,29.5,-126.0,-109.0,,,-1.5,UNDER,MED,0.544,0.5215,0.0431,4.3,0.0117,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,"[22.0, 25.0, 16.0, 27.0, 36.0]","[""Valkyries"", ""Aces"", ""Sparks"", ""Mercury"", ""Mercury""]",0.8,0.4,"[28.4, 27.6, 26.6, 29.8, 28.9]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Sonia Citron,,Washington Mystics @ Golden State Valkyries,,REB,3.9,4.6,1.1,8.1,1.1-8.1,3.5,-105.5,-127.5,,,1.1,OVER,MED,0.5336,0.5134,0.0394,3.9,0.0104,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Washington Mystics @ Golden State Valkyries,Golden State Valkyries,Washington Mystics,"[6.0, 2.0, 3.0, 6.0, 6.0]","[""Fire"", ""Tempo"", ""Storm"", ""Fire"", ""Sun""]",0.6,0.5,"[3.2, 6.4, 5.5, 4.6, 3.7]",4,0,,,,10.0,2026-07-16,wnba_player_game_logs
Allisha Gray,,Atlanta Dream @ Toronto Tempo,,PR,20.4,21.1,17.6,24.6,17.6-24.6,22.5,-124.0,-109.0,,,-1.4,UNDER,MED,0.5414,0.5215,0.0381,3.8,0.0104,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Atlanta Dream @ Toronto Tempo,Toronto Tempo,Atlanta Dream,"[21.0, 23.0, 25.0, 26.0, 21.0]","[""Sparks"", ""Fire"", ""Storm"", ""Valkyries"", ""Mystics""]",0.4,0.6,"[21.1, 20.2, 19.3, 22.5, 21.6]",10,0,,,,10.0,2026-07-13,wnba_player_game_logs
Olivia Miles,,Portland Fire @ Minnesota Lynx,,PRA,27.6,28.1,24.6,31.6,24.6-31.6,29.5,-124.0,-109.0,,,-1.4,UNDER,MED,0.5414,0.5215,0.0381,3.8,0.0104,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Portland Fire @ Minnesota Lynx,Minnesota Lynx,Portland Fire,"[27.0, 44.0, 32.0, 24.0, 32.0]","[""Sparks"", ""Mercury"", ""Liberty"", ""Liberty"", ""Wings""]",0.4,0.4,"[27.7, 26.8, 29.9, 29.0, 28.1]",13,0,,,,10.0,2026-07-15,wnba_player_game_logs
Kayla Thornton,,Washington Mystics @ Golden State Valkyries,,PTS,8.1,6.4,2.9,9.9,2.9-9.9,7.5,-123.5,-106.0,,,-1.1,UNDER,MED,0.5336,0.5146,0.037,3.7,0.0098,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Washington Mystics @ Golden State Valkyries,Golden State Valkyries,Washington Mystics,"[11.0, 2.0, 15.0, 2.0, 2.0]","[""Fever"", ""Sun"", ""Tempo"", ""Mystics"", ""Dream""]",0.6,0.6,"[8.2, 7.3, 6.4, 5.5, 4.6]",4,0,,,,10.0,2026-07-15,wnba_player_game_logs
Kamilla Cardoso,,Los Angeles Sparks @ Chicago Sky,,PRA,24.0,25.6,22.1,29.1,22.1-29.1,26.5,-128.0,-104.0,,,-0.9,UNDER,MED,0.5284,0.5098,0.0365,3.6,0.0095,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[9.0, 25.0, 17.0, 30.0, 34.0]","[""Wings"", ""Sparks"", ""Mercury"", ""Aces"", ""Aces""]",0.6,0.5,"[26.5, 25.6, 24.7, 23.8, 27.0]",5,0,,,,10.0,2026-07-12,wnba_player_game_logs
Natasha Howard,,Portland Fire @ Minnesota Lynx,,PR,24.0,24.9,21.4,28.4,21.4-28.4,23.5,-109.5,-122.5,,,1.4,OVER,MED,0.5414,0.5227,0.0358,3.6,0.0098,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Portland Fire @ Minnesota Lynx,Minnesota Lynx,Portland Fire,"[20.0, 16.0, 25.0, 22.0, 24.0]","[""Sparks"", ""Mercury"", ""Liberty"", ""Sun"", ""Sun""]",0.4,0.5,"[25.8, 24.9, 24.0, 23.1, 26.2]",13,0,,,,10.0,2026-07-15,wnba_player_game_logs
Courtney Vandersloot,,Los Angeles Sparks @ Chicago Sky,,PR,11.2,9.8,6.3,13.3,6.3-13.3,11.5,-117.5,-113.0,,,-1.7,UNDER,MED,0.5492,0.5305,0.0352,3.5,0.0099,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[9.0, 4.0, 9.0, 10.0, 13.0]","[""Storm"", ""Wings"", ""Sparks"", ""Mercury"", ""Aces""]",0.8,0.7143,"[11.6, 10.7, 9.8, 8.9, 8.0]",5,0,,,,7.0,2026-07-15,wnba_player_game_logs
Olivia Miles,,Portland Fire @ Minnesota Lynx,,PA,22.8,23.6,20.1,27.1,20.1-27.1,25.5,-116.0,-115.5,,,-1.9,UNDER,MED,0.5544,0.536,0.0344,3.4,0.0099,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Portland Fire @ Minnesota Lynx,Minnesota Lynx,Portland Fire,"[23.0, 41.0, 27.0, 19.0, 29.0]","[""Sparks"", ""Mercury"", ""Liberty"", ""Liberty"", ""Wings""]",0.4,0.4,"[24.5, 23.6, 22.7, 21.8, 25.0]",13,0,,,,10.0,2026-07-15,wnba_player_game_logs
Courtney Vandersloot,,Los Angeles Sparks @ Chicago Sky,,PRA,16.0,14.6,11.1,18.1,11.1-18.1,16.5,-112.0,-116.5,,,-1.9,UNDER,MED,0.5544,0.5381,0.0303,3.0,0.0088,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Chicago Sky,Chicago Sky,Los Angeles Sparks,"[15.0, 5.0, 13.0, 11.0, 16.0]","[""Storm"", ""Wings"", ""Sparks"", ""Mercury"", ""Aces""]",1.0,0.7143,"[15.5, 14.6, 13.7, 12.8, 15.9]",5,0,,,,7.0,2026-07-15,wnba_player_game_logs
Bridget Carleton,,Portland Fire @ Minnesota Lynx,,PRA,18.8,19.6,16.1,23.1,16.1-23.1,18.5,-107.5,-125.0,,,1.1,OVER,MED,0.5336,0.5181,0.03,3.0,0.0081,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Portland Fire @ Minnesota Lynx,Minnesota Lynx,Portland Fire,"[12.0, 6.0, 19.0, 18.0, 23.0]","[""Mystics"", ""Sun"", ""Dream"", ""Aces"", ""Storm""]",0.4,0.5,"[17.8, 21.0, 20.1, 19.2, 18.2]",13,0,,,,10.0,2026-07-16,wnba_player_game_logs
Rhyne Howard,,Atlanta Dream @ Toronto Tempo,,PRA,24.3,25.4,21.9,28.9,21.9-28.9,26.5,-124.5,-107.5,,,-1.1,UNDER,MED,0.5336,0.5181,0.03,3.0,0.0081,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Atlanta Dream @ Toronto Tempo,Toronto Tempo,Atlanta Dream,"[19.0, 17.0, 25.0, 27.0, 29.0]","[""Sparks"", ""Fire"", ""Storm"", ""Valkyries"", ""Mystics""]",0.6,0.5,"[24.0, 27.2, 26.3, 25.4, 24.5]",10,0,,,,10.0,2026-07-13,wnba_player_game_logs
