Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
1.0,Indiana Fever,19,202.6,32.3,68.4,0.472,9.8,27.1,0.362,22.5,41.4,0.543,19.6,23.8,0.823,8.1,26.2,34.2,21.2,6.1,4.1,15.2,24.2,93.9,2026
2.0,Las Vegas Aces,20,201.3,33.5,68.5,0.489,8.3,23.0,0.359,25.3,45.5,0.555,15.8,20.6,0.769,8.1,27.2,35.2,22.7,7.1,5.4,12.4,17.6,91.1,2026
3.0,Toronto Tempo,19,201.3,30.7,68.9,0.445,10.4,28.3,0.366,20.3,40.6,0.501,19.1,23.1,0.825,8.4,23.6,32.0,20.3,8.0,3.5,12.8,22.9,90.8,2026
4.0,Minnesota Lynx,20,200.0,34.4,71.3,0.482,7.9,21.3,0.369,26.6,50.0,0.531,13.6,17.2,0.793,9.8,26.9,36.7,21.3,9.0,4.9,13.4,19.2,90.3,2026
5.0,Los Angeles Sparks,18,201.4,31.2,68.4,0.455,8.4,26.6,0.316,22.8,41.9,0.544,18.1,22.8,0.791,8.2,22.3,30.6,20.3,7.3,3.2,13.9,21.1,88.8,2026
6.0,Dallas Wings,20,201.3,33.2,72.2,0.46,8.2,24.5,0.333,25.1,47.7,0.525,13.8,17.7,0.779,8.4,25.2,33.6,22.1,7.4,3.3,10.9,18.6,88.3,2026
7.0,New York Liberty,21,201.2,29.8,64.0,0.465,10.2,28.4,0.359,19.6,35.6,0.55,18.6,21.9,0.85,7.2,27.3,34.5,20.9,6.1,4.1,14.2,19.2,88.3,2026
8.0,Atlanta Dream,20,200.0,30.6,70.7,0.433,8.6,26.6,0.321,22.1,44.1,0.5,18.0,24.0,0.748,11.0,23.6,34.6,19.7,9.5,2.9,12.6,19.3,87.7,2026
9.0,Chicago Sky,20,202.5,30.0,69.0,0.434,7.0,22.7,0.309,23.0,46.4,0.495,19.7,26.0,0.759,8.5,24.9,33.4,20.8,6.7,5.4,12.9,22.2,86.6,2026
10.0,Portland Fire,20,205.0,30.1,68.4,0.439,9.6,27.7,0.347,20.5,40.8,0.502,15.0,18.6,0.806,7.9,21.2,29.0,20.2,7.4,4.4,14.7,23.2,84.7,2026
11.0,Phoenix Mercury,21,201.2,28.8,65.9,0.437,8.0,24.5,0.329,20.7,41.4,0.501,18.7,23.7,0.789,8.0,24.3,32.2,19.4,7.7,3.6,12.8,18.3,84.2,2026
12.0,Golden State Valkyries,20,200.0,28.2,68.7,0.411,10.8,30.9,0.35,17.4,37.8,0.461,15.6,20.4,0.762,9.2,24.4,33.5,18.3,6.7,4.3,10.6,19.7,82.8,2026
13.0,Washington Mystics,19,207.9,28.6,64.1,0.446,5.9,19.4,0.306,22.6,44.7,0.506,19.7,27.0,0.729,9.4,26.9,36.3,19.4,5.8,3.5,16.7,21.8,82.8,2026
14.0,Seattle Storm,21,201.2,28.2,65.9,0.428,8.9,25.6,0.348,19.3,40.3,0.478,15.1,19.0,0.799,7.0,25.0,31.9,19.0,7.0,4.6,14.0,20.0,80.4,2026
15.0,Connecticut Sun,20,201.3,29.6,68.9,0.43,5.0,18.4,0.272,24.6,50.6,0.487,15.3,22.4,0.682,10.0,23.7,33.7,18.7,8.3,4.5,13.4,23.3,79.5,2026
,League Average,20,201.8,30.6,68.2,0.448,8.5,25.0,0.339,22.1,43.2,0.512,17.0,21.8,0.779,8.6,24.8,33.4,20.3,7.3,4.1,13.3,20.7,86.6,2026
