game_date,game_id,status,is_final,in_progress,home_team,away_team,home_score,away_score,actual_spread,actual_total,home_q1,home_q2,home_q3,home_q4,away_q1,away_q2,away_q3,away_q4,posted_spread,posted_total,venue,attendance,scraped_at
2026-07-10,401857051,STATUS_SCHEDULED,False,False,Atlanta Dream,Seattle Storm,0,0,0,0,,,,,,,,,ATL -11.5,169.5,Gateway Center,0,2026-07-09T22:24:02.586376
2026-07-10,401857052,STATUS_SCHEDULED,False,False,Phoenix Mercury,Indiana Fever,0,0,0,0,,,,,,,,,PHX -1.5,171.5,Mortgage Matchup Center,0,2026-07-09T22:24:02.586391
2026-07-10,401857053,STATUS_SCHEDULED,False,False,Portland Fire,Las Vegas Aces,0,0,0,0,,,,,,,,,LV -8.5,174.5,Moda Center,0,2026-07-09T22:24:02.586399
