game_date,event_id,player,team,position,opp_team,is_home,stat_raw,stat,line,over_price,under_price,yes_price,no_price,num_books,sportsbooks,odds_type,game_time,home_team,away_team,source,scraped_at
2026-08-16,873224496c331ddad2dc0cb9daf17ffb,Aliyah Boston,,,Indiana Fever @ Atlanta Dream,,player_assists,ast,3.5,134.0,-180.0,,,1,fanduel,sportsbook,2026-08-16T21:00:00Z,Atlanta Dream,Indiana Fever,the-odds-api,2026-08-16T10:57:58.946216+00:00
2026-08-16,873224496c331ddad2dc0cb9daf17ffb,Kelsey Mitchell,,,Indiana Fever @ Atlanta Dream,,player_assists,ast,2.5,1.5,-137.0,,,2,"draftkings,fanduel",sportsbook,2026-08-16T21:00:00Z,Atlanta Dream,Indiana Fever,the-odds-api,2026-08-16T10:57:58.946216+00:00
2026-08-16,873224496c331ddad2dc0cb9daf17ffb,Angel Reese,,,Indiana Fever @ Atlanta Dream,,player_assists,ast,2.5,102.0,-137.0,,,2,"draftkings,fanduel",sportsbook,2026-08-16T21:00:00Z,Atlanta Dream,Indiana Fever,the-odds-api,2026-08-16T10:57:58.946216+00:00
2026-08-16,873224496c331ddad2dc0cb9daf17ffb,Caitlin Clark,,,Indiana Fever @ Atlanta Dream,,player_assists,ast,9.5,-116.5,-116.0,,,2,"draftkings,fanduel",sportsbook,2026-08-16T21:00:00Z,Atlanta Dream,Indiana Fever,the-odds-api,2026-08-16T10:57:58.946216+00:00
2026-08-16,873224496c331ddad2dc0cb9daf17ffb,Rhyne Howard,,,Indiana Fever @ Atlanta Dream,,player_assists,ast,3.5,-155.5,115.5,,,2,"draftkings,fanduel",sportsbook,2026-08-16T21:00:00Z,Atlanta Dream,Indiana Fever,the-odds-api,2026-08-16T10:57:58.946216+00:00
2026-08-16,873224496c331ddad2dc0cb9daf17ffb,Jordin Canada,,,Indiana Fever @ Atlanta Dream,,player_assists,ast,8.5,4.5,-139.5,,,2,"draftkings,fanduel",sportsbook,2026-08-16T21:00:00Z,Atlanta Dream,Indiana Fever,the-odds-api,2026-08-16T10:57:58.946216+00:00
2026-08-16,873224496c331ddad2dc0cb9daf17ffb,Allisha Gray,,,Indiana Fever @ Atlanta Dream,,player_assists,ast,2.5,106.5,-143.0,,,2,"draftkings,fanduel",sportsbook,2026-08-16T21:00:00Z,Atlanta Dream,Indiana Fever,the-odds-api,2026-08-16T10:57:58.946216+00:00
2026-08-16,873224496c331ddad2dc0cb9daf17ffb,Allisha Gray,,,Indiana Fever @ Atlanta Dream,,player_points,pts,18.5,-126.5,-4.0,,,2,"draftkings,fanduel",sportsbook,2026-08-16T21:00:00Z,Atlanta Dream,Indiana Fever,the-odds-api,2026-08-16T10:57:58.946216+00:00
2026-08-16,873224496c331ddad2dc0cb9daf17ffb,Lexie Hull,,,Indiana Fever @ Atlanta Dream,,player_points,pts,3.5,-128.0,-102.0,,,1,fanduel,sportsbook,2026-08-16T21:00:00Z,Atlanta Dream,Indiana Fever,the-odds-api,2026-08-16T10:57:58.946216+00:00
2026-08-16,873224496c331ddad2dc0cb9daf17ffb,Monique Billings,,,Indiana Fever @ Atlanta Dream,,player_points,pts,6.5,-104.5,-126.0,,,2,"draftkings,fanduel",sportsbook,2026-08-16T21:00:00Z,Atlanta Dream,Indiana Fever,the-odds-api,2026-08-16T10:57:58.946216+00:00
