game_date,event_id,player,team,position,opp_team,is_home,stat_raw,stat,line,over_price,under_price,yes_price,no_price,num_books,sportsbooks,odds_type,game_time,home_team,away_team,source,scraped_at
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Ariel Atkins,,,Los Angeles Sparks @ Connecticut Sun,,player_assists,ast,3.5,142.0,-192.0,,,1,fanduel,sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Nneka Ogwumike,,,Los Angeles Sparks @ Connecticut Sun,,player_assists,ast,3.5,119.5,-162.0,,,2,"draftkings,fanduel",sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Erica Wheeler,,,Los Angeles Sparks @ Connecticut Sun,,player_assists,ast,5.5,112.5,-151.5,,,2,"draftkings,fanduel",sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Leïla Lacan,,,Los Angeles Sparks @ Connecticut Sun,,player_assists,ast,4.5,-133.0,-1.0,,,2,"draftkings,fanduel",sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Dearica Hamby,,,Los Angeles Sparks @ Connecticut Sun,,player_points,pts,15.5,-110.5,-118.5,,,2,"draftkings,fanduel",sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Brittney Griner,,,Los Angeles Sparks @ Connecticut Sun,,player_points,pts,11.5,-113.5,-116.0,,,2,"draftkings,fanduel",sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Ariel Atkins,,,Los Angeles Sparks @ Connecticut Sun,,player_points,pts,8.5,-107.0,-123.0,,,2,"draftkings,fanduel",sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Rae Burrell,,,Los Angeles Sparks @ Connecticut Sun,,player_points,pts,17.5,-102.0,-128.0,,,1,fanduel,sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Erica Wheeler,,,Los Angeles Sparks @ Connecticut Sun,,player_points,pts,8.5,-130.0,-1.0,,,2,"draftkings,fanduel",sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Nneka Ogwumike,,,Los Angeles Sparks @ Connecticut Sun,,player_points,pts,16.5,102.0,-132.0,,,1,fanduel,sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Leïla Lacan,,,Los Angeles Sparks @ Connecticut Sun,,player_points,pts,11.5,-111.5,-118.0,,,2,"draftkings,fanduel",sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
2026-08-18,4182f31a2a8dbb90fbfd76b2b1cf0493,Nneka Ogwumike,,,Los Angeles Sparks @ Connecticut Sun,,player_points_assists,pa,19.5,-108.5,-123.5,,,2,"draftkings,fanduel",sportsbook,2026-08-18T23:00:00Z,Connecticut Sun,Los Angeles Sparks,the-odds-api,2026-08-18T11:04:46.827312+00:00
