game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-07-28,Connecticut Sun,Aaliyah Edwards,,,Probable,PROBABLE,Injury/Illness - Right Knee; -,Injury/Illness - Right Knee; -; matchup=(ET) CON@WAS; game_time=07:30,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Connecticut Sun,Brittney Griner,,,Out,OUT,Injury/Illness - Left Knee; -,Injury/Illness - Left Knee; -; matchup=(ET) CON@WAS; game_time=07:30,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Connecticut Sun,Saniya Rivers,,,Probable,PROBABLE,Injury/Illness - Left Ankle; -,Injury/Illness - Left Ankle; -; matchup=(ET) CON@WAS; game_time=07:30,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Toronto Tempo,Isabelle Harrison,,,Questionable,QUESTIONABLE,Injury/Illness - Left Knee; Soreness,Injury/Illness - Left Knee; Soreness; matchup=(ET) TOR@MIN; game_time=08:00,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Toronto Tempo,Kiki Rice,,,Questionable,QUESTIONABLE,Injury/Illness - Left Ankle; Injury,Injury/Illness - Left Ankle; Injury; matchup=(ET) TOR@MIN; game_time=08:00,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Toronto Tempo,Nyara Sabally,,,Questionable,QUESTIONABLE,Injury/Illness - Rib Cage; Injury,Injury/Illness - Rib Cage; Injury; matchup=(ET) TOR@MIN; game_time=08:00,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Toronto Tempo,Brittney Sykes,,,Out,OUT,Injury/Illness - Left Foot; Injury,Injury/Illness - Left Foot; Injury; matchup=(ET) TOR@MIN; game_time=08:00,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Minnesota Lynx,Emma Cechova,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=(ET) TOR@MIN; game_time=08:00,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Indiana Fever,Caitlin Clark,,,Probable,PROBABLE,Injury/Illness - Back; Back,Injury/Illness - Back; Back; matchup=(ET) IND@SEA; game_time=09:30,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Indiana Fever,Damiris Dantas,,,Out,OUT,Injury/Illness - Left Knee; NWT,Injury/Illness - Left Knee; NWT; matchup=(ET) IND@SEA; game_time=09:30,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Indiana Fever,Bree Hall,,,Probable,PROBABLE,Injury/Illness - Left Ankle; Ankle,Injury/Illness - Left Ankle; Ankle; matchup=(ET) IND@SEA; game_time=09:30,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Seattle Storm,Ezi Magbegor,,,Out,OUT,,; matchup=(ET) IND@SEA; game_time=09:30,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Seattle Storm,Taina Mair,,,Out,OUT,Coach's Decision - Coach's Decision,Coach's Decision - Coach's Decision; matchup=(ET) IND@SEA; game_time=09:30,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Seattle Storm,Dominique Malonga,,,Questionable,QUESTIONABLE,Injury/Illness - Back; Injury/Illness,Injury/Illness - Back; Injury/Illness; matchup=(ET) IND@SEA; game_time=09:30,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,New York Liberty,Leonie Fiebich,,,Out,OUT,Injury/Illness - Left Foot; L. Foot,Injury/Illness - Left Foot; L. Foot; matchup=(ET) NYL@LAS; game_time=10:00,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,New York Liberty,Marine Johannes,,,Questionable,QUESTIONABLE,Injury/Illness - Left Ankle; L. Ankle,Injury/Illness - Left Ankle; L. Ankle; matchup=(ET) NYL@LAS; game_time=10:00,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,New York Liberty,Satou Sabally,,,Out,OUT,Concussion Protocol,Concussion Protocol; matchup=(ET) NYL@LAS; game_time=10:00,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Los Angeles Sparks,Kelsey Plum,,,Out,OUT,,; matchup=(ET) NYL@LAS; game_time=10:00,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Portland Fire,Sarah Ashlee Barker,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=PDX@LVA; game_time=10:00,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Portland Fire,Sania Feagin,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=PDX@LVA; game_time=10:00,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Las Vegas Aces,Kierstan Bell,,,Out,OUT,Injury/Illness - Right Leg; injury,Injury/Illness - Right Leg; injury; matchup=PDX@LVA; game_time=10:00,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Las Vegas Aces,Cheyenne Parker-Tyus,,,Out,OUT,Concussion Protocol,Concussion Protocol; matchup=PDX@LVA; game_time=10:00,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
