game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-09-24,Toronto Tempo,Kamila Borkowska,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Toronto Tempo,Maria Conde,,,Out,OUT,Injury/Illness - Back; Injury,Injury/Illness - Back; Injury; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Toronto Tempo,Temi Fagbenle,,,Out,OUT,Personal Reasons,Personal Reasons; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Toronto Tempo,Maria Gakdeng,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Toronto Tempo,Marina Mabrey,,,Out,OUT,Injury/Illness - Right Adductor; Injury,Injury/Illness - Right Adductor; Injury; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Toronto Tempo,Aneesah Morrow,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Toronto Tempo,Brittney Sykes,,,Out,OUT,Injury/Illness - Left Foot; Injury,Injury/Illness - Left Foot; Injury; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Connecticut Sun,Kennedy Burke,,,Out,OUT,Injury/Illness - Right Shoulder; -,Injury/Illness - Right Shoulder; -; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Connecticut Sun,Brittney Griner,,,Out,OUT,Injury/Illness - Left Knee; -,Injury/Illness - Left Knee; -; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Connecticut Sun,Rayah Marshall,,,Out,OUT,Injury/Illness - Right Knee; -,Injury/Illness - Right Knee; -; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Connecticut Sun,Olivia Nelson-Ododa,,,Out,OUT,Injury/Illness - Right Knee; -,Injury/Illness - Right Knee; -; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Connecticut Sun,Saniya Rivers,,,Out,OUT,Injury/Illness - Left Ankle; -,Injury/Illness - Left Ankle; -; matchup=(ET) TOR@CON; game_time=07:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Chicago Sky,DiJonai Carrington,,,Out,OUT,Injury/Illness - Left Foot; Left Foot,Injury/Illness - Left Foot; Left Foot; matchup=(ET) CHI@WAS; game_time=07:30,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Chicago Sky,Natasha Cloud,,,Out,OUT,Injury/Illness - Left Knee; Left Knee,Injury/Illness - Left Knee; Left Knee; matchup=(ET) CHI@WAS; game_time=07:30,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Chicago Sky,Aicha Coulibaly,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=(ET) CHI@WAS; game_time=07:30,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Chicago Sky,Skylar Diggins,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=(ET) CHI@WAS; game_time=07:30,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Chicago Sky,Azura Stevens,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=(ET) CHI@WAS; game_time=07:30,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Minnesota Lynx,Elena Buenavida,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) IND@MIN; game_time=08:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Minnesota Lynx,Anastasiia Olairi Kosu,,,Out,OUT,Injury/Illness - Right Foot; Right foot,Injury/Illness - Right Foot; Right foot; matchup=(ET) IND@MIN; game_time=08:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Minnesota Lynx,Olivia Miles,,,Out,OUT,Injury/Illness - Left Calf; Left calf,Injury/Illness - Left Calf; Left calf; matchup=(ET) IND@MIN; game_time=08:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Los Angeles Sparks,Cameron Brink,,,Out,OUT,Injury/Illness - Right ankle; R ankle,Injury/Illness - Right ankle; R ankle; matchup=(ET) GSV@LAS; game_time=10:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Los Angeles Sparks,Ndjakalenga Mwenentanda,,,Out,OUT,Coach's Decision - Coach’s decision,Coach's Decision - Coach’s decision; matchup=(ET) GSV@LAS; game_time=10:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Los Angeles Sparks,Aaliyah Nye,,,Out,OUT,Injury/Illness - Left ankle; L ankle,Injury/Illness - Left ankle; L ankle; matchup=(ET) GSV@LAS; game_time=10:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Los Angeles Sparks,Shyanne Sellers,,,Out,OUT,Coach's Decision - Coach’s decision,Coach's Decision - Coach’s decision; matchup=(ET) GSV@LAS; game_time=10:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Las Vegas Aces,Dana Evans,,,Out,OUT,Injury/Illness - Right Knee; R. Knee,Injury/Illness - Right Knee; R. Knee; matchup=LVA@PHX; game_time=10:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
2026-09-24,Phoenix Mercury,Kelsey Plum,,,Out,OUT,Injury/Illness - Left Lower Leg; -,Injury/Illness - Left Lower Leg; -; matchup=LVA@PHX; game_time=10:00,,True,official_wnba_pdf,2026-09-25T01:06:14.251883+00:00
