game_date,event_id,game,commence_time,market_type,market_key,side,team,player,stat,book_key,book_title,line,odds,is_preferred_book,source,scraped_at
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,MONEYLINE,h2h,Chicago Sky,Chicago Sky,,,draftkings,DraftKings,,-219,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,MONEYLINE,h2h,Connecticut Sun,Connecticut Sun,,,draftkings,DraftKings,,177,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,SPREAD,spreads,Chicago Sky,Chicago Sky,,,draftkings,DraftKings,-5.5,-104,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,SPREAD,spreads,Connecticut Sun,Connecticut Sun,,,draftkings,DraftKings,5.5,-116,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,TOTAL,totals,OVER,,,,draftkings,DraftKings,175.5,-107,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,TOTAL,totals,UNDER,,,,draftkings,DraftKings,175.5,-113,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,MONEYLINE,h2h,Chicago Sky,Chicago Sky,,,fanduel,FanDuel,,-215,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,MONEYLINE,h2h,Connecticut Sun,Connecticut Sun,,,fanduel,FanDuel,,172,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,SPREAD,spreads,Chicago Sky,Chicago Sky,,,fanduel,FanDuel,-4.5,-120,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,SPREAD,spreads,Connecticut Sun,Connecticut Sun,,,fanduel,FanDuel,4.5,-102,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,TOTAL,totals,OVER,,,,fanduel,FanDuel,175.5,-112,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,c1d42f6695414bf61ecb07b706cce413,Connecticut Sun @ Chicago Sky,2026-07-31T00:10:00Z,TOTAL,totals,UNDER,,,,fanduel,FanDuel,175.5,-108,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,MONEYLINE,h2h,Minnesota Lynx,Minnesota Lynx,,,draftkings,DraftKings,,-770,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,MONEYLINE,h2h,Toronto Tempo,Toronto Tempo,,,draftkings,DraftKings,,518,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,SPREAD,spreads,Minnesota Lynx,Minnesota Lynx,,,draftkings,DraftKings,-12.5,-106,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,SPREAD,spreads,Toronto Tempo,Toronto Tempo,,,draftkings,DraftKings,12.5,-114,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,TOTAL,totals,OVER,,,,draftkings,DraftKings,186.5,-107,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,TOTAL,totals,UNDER,,,,draftkings,DraftKings,186.5,-113,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,MONEYLINE,h2h,Minnesota Lynx,Minnesota Lynx,,,fanduel,FanDuel,,-800,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,MONEYLINE,h2h,Toronto Tempo,Toronto Tempo,,,fanduel,FanDuel,,520,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,SPREAD,spreads,Minnesota Lynx,Minnesota Lynx,,,fanduel,FanDuel,-12.5,-110,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,SPREAD,spreads,Toronto Tempo,Toronto Tempo,,,fanduel,FanDuel,12.5,-110,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,TOTAL,totals,OVER,,,,fanduel,FanDuel,186.5,-110,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,ba08696dc9c287df669bc353e504f1be,Minnesota Lynx @ Toronto Tempo,2026-07-31T00:10:00Z,TOTAL,totals,UNDER,,,,fanduel,FanDuel,186.5,-110,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,MONEYLINE,h2h,Las Vegas Aces,Las Vegas Aces,,,draftkings,DraftKings,,-191,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,MONEYLINE,h2h,New York Liberty,New York Liberty,,,draftkings,DraftKings,,156,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,SPREAD,spreads,Las Vegas Aces,Las Vegas Aces,,,draftkings,DraftKings,-4.5,-112,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,SPREAD,spreads,New York Liberty,New York Liberty,,,draftkings,DraftKings,4.5,-108,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,TOTAL,totals,OVER,,,,draftkings,DraftKings,182.5,-110,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,TOTAL,totals,UNDER,,,,draftkings,DraftKings,182.5,-110,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,MONEYLINE,h2h,Las Vegas Aces,Las Vegas Aces,,,fanduel,FanDuel,,-176,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,MONEYLINE,h2h,New York Liberty,New York Liberty,,,fanduel,FanDuel,,142,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,SPREAD,spreads,Las Vegas Aces,Las Vegas Aces,,,fanduel,FanDuel,-4.5,-108,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,SPREAD,spreads,New York Liberty,New York Liberty,,,fanduel,FanDuel,4.5,-112,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,TOTAL,totals,OVER,,,,fanduel,FanDuel,181.5,-115,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,86a42225bc8fb8c6d5c57f0732338c65,New York Liberty @ Las Vegas Aces,2026-07-31T02:10:00Z,TOTAL,totals,UNDER,,,,fanduel,FanDuel,181.5,-105,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,MONEYLINE,h2h,Atlanta Dream,Atlanta Dream,,,fanduel,FanDuel,,-750,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,MONEYLINE,h2h,Seattle Storm,Seattle Storm,,,fanduel,FanDuel,,490,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,SPREAD,spreads,Atlanta Dream,Atlanta Dream,,,fanduel,FanDuel,-12.5,-110,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,SPREAD,spreads,Seattle Storm,Seattle Storm,,,fanduel,FanDuel,12.5,-110,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,TOTAL,totals,OVER,,,,fanduel,FanDuel,176.5,-115,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,TOTAL,totals,UNDER,,,,fanduel,FanDuel,176.5,-105,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,MONEYLINE,h2h,Atlanta Dream,Atlanta Dream,,,draftkings,DraftKings,,-880,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,MONEYLINE,h2h,Seattle Storm,Seattle Storm,,,draftkings,DraftKings,,574,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,SPREAD,spreads,Atlanta Dream,Atlanta Dream,,,draftkings,DraftKings,-12.5,-112,True,the-odds-api,2026-07-30T19:47:52.395175+00:00
