player,team,opp,pos,stat,season_avg,pred,low,high,range,line,over_price,under_price,yes_price,no_price,edge,signal,conf,model_prob,implied_prob,ev,ev_pct,kelly_frac,injury_status,market_status,is_active,filter_reason,reasoning,game,home_team,away_team,last5_vals,last5_opps,last5_hit,last10_hit,h2h_last5,opp_rank,role_score,minutes_trend,points_trend,intel_source
Odyssey Sims,Dallas Wings,Dallas Wings @ Golden State Valkyries,G,PA,7.3,3.7,0.2,7.2,0.2-7.2,12.5,-132.0,100.0,,,-8.8,UNDER,HIGH,0.66,0.5,0.32,32.0,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 50.9, minutes DOWN, points STABLE.",Dallas Wings @ Golden State Valkyries,Golden State Valkyries,Dallas Wings,"[2.4, 5.5, 4.6, 3.7, 2.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[3.7, 2.8, 1.9, 5.1, 4.2]",1,50.9,DOWN,STABLE,wnba_player_intelligence
Alanna Smith,Dallas Wings,Dallas Wings @ Golden State Valkyries,F,PR,7.6,6.2,2.7,9.7,2.7-9.7,17.5,-127.0,-105.5,,,-11.3,UNDER,HIGH,0.66,0.5134,0.2856,28.6,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 53.4, minutes STABLE, points STABLE.",Dallas Wings @ Golden State Valkyries,Golden State Valkyries,Dallas Wings,"[5.8, 4.8, 8.0, 7.1, 6.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[7.1, 6.2, 5.3, 4.4, 7.6]",1,53.4,STABLE,STABLE,wnba_player_intelligence
Alanna Smith,Dallas Wings,Dallas Wings @ Golden State Valkyries,F,PRA,8.8,7.0,3.5,10.5,3.5-10.5,19.5,-125.5,-107.0,,,-12.5,UNDER,HIGH,0.66,0.5169,0.2768,27.7,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 53.4, minutes STABLE, points STABLE.",Dallas Wings @ Golden State Valkyries,Golden State Valkyries,Dallas Wings,"[5.7, 8.8, 7.9, 7.0, 6.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[7.0, 6.1, 5.2, 8.3, 7.5]",1,53.4,STABLE,STABLE,wnba_player_intelligence
Alanna Smith,Dallas Wings,Dallas Wings @ Golden State Valkyries,F,PTS,4.5,3.1,0.0,6.6,0.0-6.6,10.5,-121.5,-107.5,,,-7.4,UNDER,HIGH,0.66,0.5181,0.274,27.4,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 53.4, minutes STABLE, points STABLE.",Dallas Wings @ Golden State Valkyries,Golden State Valkyries,Dallas Wings,"[2.6, 1.8, 4.9, 4.0, 3.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[4.0, 3.1, 2.2, 1.3, 4.5]",1,53.4,STABLE,STABLE,wnba_player_intelligence
Alanna Smith,Dallas Wings,Dallas Wings @ Golden State Valkyries,F,RA,4.3,3.4,0.0,6.9,0.0-6.9,8.5,-132.5,-101.5,,,-5.1,UNDER,HIGH,0.6376,0.5037,0.2658,26.6,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 53.4, minutes STABLE, points STABLE.",Dallas Wings @ Golden State Valkyries,Golden State Valkyries,Dallas Wings,"[4.3, 3.4, 2.5, 1.6, 4.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[1.6, 4.8, 3.9, 2.9, 2.0]",1,53.4,STABLE,STABLE,wnba_player_intelligence
Odyssey Sims,Dallas Wings,Dallas Wings @ Golden State Valkyries,G,PTS,5.2,2.1,0.0,5.6,0.0-5.6,9.5,-119.5,-110.0,,,-7.4,UNDER,HIGH,0.66,0.5238,0.26,26.0,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 50.9, minutes DOWN, points STABLE.",Dallas Wings @ Golden State Valkyries,Golden State Valkyries,Dallas Wings,"[0.3, 3.5, 2.6, 1.7, 0.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[1.7, 0.8, 3.9, 3.0, 2.1]",1,50.9,DOWN,STABLE,wnba_player_intelligence
Alanna Smith,Dallas Wings,Dallas Wings @ Golden State Valkyries,F,REB,3.2,2.6,0.0,6.1,0.0-6.1,6.5,-143.5,106.5,,,-3.9,UNDER,HIGH,0.6064,0.4843,0.2522,25.2,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 53.4, minutes STABLE, points STABLE.",Dallas Wings @ Golden State Valkyries,Golden State Valkyries,Dallas Wings,"[0.8, 4.0, 3.1, 2.1, 1.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[2.1, 1.2, 4.4, 3.5, 2.6]",1,53.4,STABLE,STABLE,wnba_player_intelligence
Alanna Smith,Dallas Wings,Dallas Wings @ Golden State Valkyries,F,PA,5.6,3.9,0.4,7.4,0.4-7.4,12.5,-120.5,-111.5,,,-8.6,UNDER,HIGH,0.66,0.5272,0.2519,25.2,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 53.4, minutes STABLE, points STABLE.",Dallas Wings @ Golden State Valkyries,Golden State Valkyries,Dallas Wings,"[3.9, 3.0, 2.1, 5.2, 4.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[5.2, 4.3, 3.4, 2.5, 5.7]",1,53.4,STABLE,STABLE,wnba_player_intelligence
Arike Ogunbowale,Dallas Wings,Dallas Wings @ Golden State Valkyries,G,PRA,21.3,27.2,23.7,30.7,23.7-30.7,22.5,-102.0,-130.0,,,4.7,OVER,HIGH,0.6272,0.505,0.2421,24.2,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 99.2, minutes UP, points UP.",Dallas Wings @ Golden State Valkyries,Golden State Valkyries,Dallas Wings,"[25.4, 28.6, 27.6, 26.8, 25.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[26.8, 25.8, 29.0, 28.1, 27.2]",1,99.2,UP,UP,wnba_player_intelligence
Odyssey Sims,Dallas Wings,Dallas Wings @ Golden State Valkyries,G,PRA,8.2,4.6,1.1,8.1,1.1-8.1,15.5,-116.5,-115.5,,,-10.9,UNDER,HIGH,0.66,0.536,0.2314,23.1,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 50.9, minutes DOWN, points STABLE.",Dallas Wings @ Golden State Valkyries,Golden State Valkyries,Dallas Wings,"[5.9, 5.0, 4.1, 3.2, 6.4]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[3.2, 6.4, 5.5, 4.6, 3.7]",1,50.9,DOWN,STABLE,wnba_player_intelligence
