game_date,game_id,player,team,position,starter,minutes,pts,reb,ast,stl,blk,tov,fgm,fga,threes,threes_att,ftm,fta,plus_minus,scraped_at
2026-07-13,401857064,Nneka Ogwumike,Los Angeles Sparks,F,True,32.0,19.0,5.0,5.0,0.0,0.0,3.0,,,,,,,-14.0,2026-07-14T10:13:59.219372
2026-07-13,401857064,Dearica Hamby,Los Angeles Sparks,F,True,36.0,12.0,5.0,2.0,3.0,2.0,5.0,,,,,,,4.0,2026-07-14T10:13:59.219385
2026-07-13,401857064,Erica Wheeler,Los Angeles Sparks,G,True,32.0,20.0,3.0,4.0,1.0,0.0,3.0,,,,,,,-11.0,2026-07-14T10:13:59.219393
2026-07-13,401857064,Ariel Atkins,Los Angeles Sparks,G,True,34.0,13.0,3.0,2.0,3.0,1.0,2.0,,,,,,,-10.0,2026-07-14T10:13:59.219404
2026-07-13,401857064,Rae Burrell,Los Angeles Sparks,G,True,33.0,18.0,4.0,4.0,3.0,0.0,2.0,,,,,,,6.0,2026-07-14T10:13:59.219412
2026-07-13,401857064,Emma Cannon,Los Angeles Sparks,F,False,11.0,5.0,1.0,0.0,0.0,0.0,1.0,,,,,,,-2.0,2026-07-14T10:13:59.219418
2026-07-13,401857064,Jihyun Park,Los Angeles Sparks,F,False,8.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,-5.0,2026-07-14T10:13:59.219424
2026-07-13,401857064,Alissa Pili,Los Angeles Sparks,F,False,2.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,-6.0,2026-07-14T10:13:59.219433
2026-07-13,401857064,Kiana Williams,Los Angeles Sparks,G,False,8.0,5.0,0.0,1.0,1.0,0.0,1.0,,,,,,,2.0,2026-07-14T10:13:59.219440
2026-07-13,401857064,Kate Martin,Los Angeles Sparks,G,False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-4.0,2026-07-14T10:13:59.219446
2026-07-13,401857064,Chance Gray,Los Angeles Sparks,G,False,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-5.0,2026-07-14T10:13:59.219451
2026-07-13,401857064,Naz Hillmon,Atlanta Dream,F,True,32.0,10.0,5.0,2.0,0.0,0.0,3.0,,,,,,,11.0,2026-07-14T10:13:59.219459
2026-07-13,401857064,Angel Reese,Atlanta Dream,F,True,33.0,23.0,13.0,2.0,3.0,0.0,3.0,,,,,,,13.0,2026-07-14T10:13:59.219464
2026-07-13,401857064,Allisha Gray,Atlanta Dream,G,True,33.0,20.0,1.0,2.0,2.0,1.0,1.0,,,,,,,8.0,2026-07-14T10:13:59.219471
2026-07-13,401857064,Jordin Canada,Atlanta Dream,G,True,35.0,16.0,3.0,9.0,2.0,0.0,3.0,,,,,,,11.0,2026-07-14T10:13:59.219476
