game_id,game_date,team,player,position,minutes,fgm,fga,threes,fta,ftm,reb,ast,stl,blk,tov,pf,pts,opponent,opponent_abbr,team_abbr,team_logo,source
401857086,2026-07-22,Phoenix Mercury,Alyssa Thomas,F,36,5,9,0,13,9,11,15,3,1,3,2,19,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Ariel Atkins,G,33,5,9,3,2,2,4,3,1,2,1,1,15,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Cameron Brink,F,19,2,9,1,0,0,4,3,0,1,3,2,5,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Chance Gray,G,12,1,4,1,2,1,1,0,1,0,3,2,4,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Phoenix Mercury,DeWanna Bonner,F,27,4,9,1,0,0,7,4,2,0,0,3,9,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Dearica Hamby,F,31,7,12,0,5,4,10,5,2,2,2,1,18,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Emma Cannon,F,,,,,,,,,,,,,,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Erica Wheeler,G,26,1,6,0,3,3,2,4,1,0,0,4,5,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Jihyun Park,F,6,1,2,0,0,0,0,1,0,0,1,2,2,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Phoenix Mercury,Kahleah Copper,G,30,10,16,1,0,0,2,3,1,0,1,5,21,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Kate Martin,G,2,0,0,0,0,0,0,0,0,0,0,1,0,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Kiana Williams,G,7,0,2,0,0,0,0,1,0,0,0,0,0,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Phoenix Mercury,Kyara Linskens,C,,,,,,,,,,,,,,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857086,2026-07-22,Phoenix Mercury,Lexi Held,G,15,0,1,0,0,0,1,1,0,1,1,0,0,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857086,2026-07-22,Phoenix Mercury,Marta Suarez,F,,,,,,,,,,,,,,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857086,2026-07-22,Phoenix Mercury,Monique Akoa Makani,G,24,6,14,2,0,0,1,2,2,0,2,2,14,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857086,2026-07-22,Phoenix Mercury,Natasha Mack,F,15,5,8,0,0,0,3,1,0,2,2,2,10,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Nneka Ogwumike,F,30,4,10,1,4,4,13,1,0,0,4,3,13,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Phoenix Mercury,Noemie Brochant,F,23,1,5,0,0,0,2,0,0,1,0,5,2,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857086,2026-07-22,Los Angeles Sparks,Rae Burrell,G,34,7,16,3,5,3,3,2,0,0,4,5,20,Phoenix Mercury,PHX,LA,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,wehoop_espn
401857086,2026-07-22,Phoenix Mercury,Sami Whitcomb,G,18,3,8,2,0,0,3,1,1,0,1,4,8,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857086,2026-07-22,Phoenix Mercury,Valeriane Ayayi,F,13,1,4,1,0,0,3,1,1,0,2,0,3,Los Angeles Sparks,LA,PHX,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Anastasiia Olairi Kosu,F,,,,,,,,,,,,,,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Antonia Delaere,F,3,0,1,0,0,0,0,0,1,0,0,1,0,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Awa Fam,C,31,4,9,2,0,0,10,1,1,2,1,2,10,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Courtney Williams,G,20,0,5,0,0,0,5,6,1,0,2,5,0,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Dominique Malonga,C,26,9,13,1,2,2,9,2,1,4,4,1,21,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Dorka Juhasz,F,16,1,5,1,0,0,2,0,1,1,0,0,3,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Eliska Hamzova,G,2,0,1,0,0,0,0,0,0,0,0,0,0,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Emma Cechova,F,,,,,,,,,,,,,,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Ezi Magbegor,F,,,,,,,,,,,,,,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Flau'jae Johnson,G,29,7,17,0,3,2,6,4,2,0,6,2,16,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Jade Melbourne,G,28,2,6,0,0,0,2,4,1,0,0,4,4,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Jordan Horston,F,14,1,3,0,2,1,5,2,0,1,1,1,3,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Katie Lou Samuelson,F,13,0,2,0,4,3,4,1,0,0,1,0,3,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Kayla McBride,G,36,6,14,3,5,5,3,2,3,1,0,1,20,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Mackenzie Holmes,F,,,,,,,,,,,,,,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Maya Caldwell,G,28,2,4,2,2,2,6,2,1,0,1,2,8,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Napheesa Collier,F,22,9,20,2,4,4,10,1,1,0,2,0,24,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Natasha Howard,F,26,5,9,0,2,1,5,3,3,1,2,1,11,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Natisha Hiedeman,G,32,4,13,1,4,3,2,3,2,0,4,2,12,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Nia Coffey,F,16,3,5,1,0,0,2,3,0,0,1,1,7,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Minnesota Lynx,Olivia Miles,G,31,5,15,0,4,3,3,6,2,0,3,2,13,Seattle Storm,SEA,MIN,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Stefanie Dolson,C,11,0,1,0,0,0,2,1,0,0,0,0,0,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Taylor Thierry,F,,,,,,,,,,,,,,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857087,2026-07-22,Seattle Storm,Zia Cooke,G,17,3,10,1,0,0,1,0,0,0,1,0,7,Minnesota Lynx,MIN,SEA,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,wehoop_espn
401857088,2026-07-22,Chicago Sky,Aicha Coulibaly,G,9,2,4,0,0,0,4,0,0,0,1,1,4,New York Liberty,NY,CHI,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,wehoop_espn
401857088,2026-07-22,Chicago Sky,Azura Stevens,F,30,2,5,0,4,4,7,3,2,4,2,6,8,New York Liberty,NY,CHI,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,wehoop_espn
401857088,2026-07-22,New York Liberty,Betnijah Laney-Hamilton,G,,,,,,,,,,,,,,Chicago Sky,CHI,NY,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wehoop_espn
401857088,2026-07-22,New York Liberty,Breanna Stewart,F,37,5,19,2,8,8,9,4,0,3,3,5,20,Chicago Sky,CHI,NY,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wehoop_espn
401857088,2026-07-22,Chicago Sky,Courtney Vandersloot,G,22,5,8,1,4,3,1,4,1,1,1,1,14,New York Liberty,NY,CHI,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,wehoop_espn
401857088,2026-07-22,Chicago Sky,Elizabeth Williams,C,15,4,5,0,0,0,3,2,1,0,0,1,8,New York Liberty,NY,CHI,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,wehoop_espn
401857088,2026-07-22,Chicago Sky,Gabriela Jaquez,G,20,2,7,1,0,0,3,1,1,0,0,1,5,New York Liberty,NY,CHI,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,wehoop_espn
401857088,2026-07-22,New York Liberty,Han Xu,C,12,2,4,0,1,1,2,0,0,0,0,0,5,Chicago Sky,CHI,NY,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wehoop_espn
401857088,2026-07-22,Chicago Sky,Jacy Sheldon,G,17,1,4,0,0,0,1,1,1,0,1,2,2,New York Liberty,NY,CHI,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,wehoop_espn
401857088,2026-07-22,New York Liberty,Jonquel Jones,C,28,4,9,2,6,4,10,2,0,2,3,3,14,Chicago Sky,CHI,NY,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wehoop_espn
401857088,2026-07-22,Chicago Sky,Kamilla Cardoso,C,25,5,11,0,0,0,5,5,1,1,1,5,10,New York Liberty,NY,CHI,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,wehoop_espn
401857088,2026-07-22,New York Liberty,Marine Fauthoux,G,18,1,4,0,0,0,1,1,0,0,0,1,2,Chicago Sky,CHI,NY,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wehoop_espn
401857088,2026-07-22,Chicago Sky,Natasha Cloud,G,32,4,8,1,0,0,3,7,0,0,2,3,9,New York Liberty,NY,CHI,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,wehoop_espn
401857088,2026-07-22,New York Liberty,Pauline Astier,G,22,3,6,0,3,3,1,5,1,0,2,1,9,Chicago Sky,CHI,NY,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wehoop_espn
401857088,2026-07-22,Chicago Sky,Rachel Banham,G,3,0,2,0,3,3,0,1,0,0,0,0,3,New York Liberty,NY,CHI,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,wehoop_espn
401857088,2026-07-22,New York Liberty,Raquel Carrera,F,3,0,0,0,0,0,0,1,0,0,0,0,0,Chicago Sky,CHI,NY,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wehoop_espn
401857088,2026-07-22,New York Liberty,Rebecca Allen,G,29,5,12,2,0,0,4,0,0,0,1,4,12,Chicago Sky,CHI,NY,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wehoop_espn
401857088,2026-07-22,New York Liberty,Rebekah Gardner,G,15,1,6,0,2,2,6,0,0,0,0,1,4,Chicago Sky,CHI,NY,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wehoop_espn
401857088,2026-07-22,New York Liberty,Sabrina Ionescu,G,35,8,11,5,8,8,4,4,0,1,4,1,29,Chicago Sky,CHI,NY,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wehoop_espn
401857088,2026-07-22,Chicago Sky,Sydney Taylor,G,26,9,17,4,10,9,3,3,1,0,1,0,31,New York Liberty,NY,CHI,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,wehoop_espn
401857089,2026-07-22,Las Vegas Aces,A'ja Wilson,C,35,12,16,2,13,12,7,5,3,2,1,4,38,Washington Mystics,WSH,LV,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,wehoop_espn
401857089,2026-07-22,Washington Mystics,Alicia Florez,G,6,1,3,1,0,0,0,2,0,0,0,1,3,Las Vegas Aces,LV,WSH,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,wehoop_espn
401857089,2026-07-22,Washington Mystics,Angela Dugalic,F,5,0,0,0,0,0,2,2,0,0,1,0,0,Las Vegas Aces,LV,WSH,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,wehoop_espn
401857089,2026-07-22,Las Vegas Aces,Brianna Turner,F,12,2,2,0,0,0,2,0,0,0,1,1,4,Washington Mystics,WSH,LV,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,wehoop_espn
401857089,2026-07-22,Washington Mystics,Cassandre Prosper,G,7,0,1,0,0,0,0,0,0,0,0,2,0,Las Vegas Aces,LV,WSH,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,wehoop_espn
401857089,2026-07-22,Las Vegas Aces,Chelsea Gray,G,37,6,12,1,6,6,1,4,1,1,2,4,19,Washington Mystics,WSH,LV,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,wehoop_espn
401857089,2026-07-22,Las Vegas Aces,Cheyenne Parker-Tyus,F,10,0,1,0,0,0,1,0,1,0,0,2,0,Washington Mystics,WSH,LV,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,wehoop_espn
