game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-09-21,Atlanta Dream,Brionna Jones,,,Out,OUT,Injury/Illness - Left Leg; N/A,Injury/Illness - Left Leg; N/A; matchup=(ET) ATL@NYL; game_time=08:00,,True,official_wnba_pdf,2026-09-21T16:32:16.757262+00:00
2026-09-21,Dallas Wings,Alanna Smith,,,Out,OUT,Injury/Illness - Left Leg; lower left leg,Injury/Illness - Left Leg; lower left leg; matchup=(ET) DAL@PHX; game_time=10:00,,True,official_wnba_pdf,2026-09-21T16:32:16.757262+00:00
2026-09-21,Phoenix Mercury,Kahleah Copper,,,Probable,PROBABLE,Injury/Illness - Right Groin; -,Injury/Illness - Right Groin; -; matchup=(ET) DAL@PHX; game_time=10:00,,False,official_wnba_pdf,2026-09-21T16:32:16.757262+00:00
2026-09-21,Phoenix Mercury,Kara Dunn,,,Probable,PROBABLE,Injury/Illness - Right Knee; -,Injury/Illness - Right Knee; -; matchup=(ET) DAL@PHX; game_time=10:00,,False,official_wnba_pdf,2026-09-21T16:32:16.757262+00:00
2026-09-21,Phoenix Mercury,Kelsey Plum,,,Out,OUT,Injury/Illness - Left Lower Leg; -,Injury/Illness - Left Lower Leg; -; matchup=(ET) DAL@PHX; game_time=10:00,,True,official_wnba_pdf,2026-09-21T16:32:16.757262+00:00
