game_date,game_id,player,team,position,starter,minutes,pts,reb,ast,stl,blk,tov,fgm,fga,threes,threes_att,ftm,fta,plus_minus,scraped_at
2026-07-16,401857071,Bridget Carleton,Portland Fire,F,True,26.0,6.0,3.0,3.0,1.0,0.0,0.0,,,,,,,20.0,2026-07-17T10:15:01.981214
2026-07-16,401857071,Emily Engstler,Portland Fire,F,True,22.0,8.0,3.0,5.0,2.0,0.0,2.0,,,,,,,8.0,2026-07-17T10:15:01.981227
2026-07-16,401857071,Serah Williams,Portland Fire,C,True,25.0,12.0,5.0,1.0,1.0,1.0,1.0,,,,,,,17.0,2026-07-17T10:15:01.981234
2026-07-16,401857071,Sarah Ashlee Barker,Portland Fire,G,True,24.0,10.0,7.0,2.0,4.0,0.0,1.0,,,,,,,7.0,2026-07-17T10:15:01.981244
2026-07-16,401857071,Carla Leite,Portland Fire,G,True,23.0,14.0,1.0,5.0,1.0,0.0,0.0,,,,,,,18.0,2026-07-17T10:15:01.981250
2026-07-16,401857071,Frieda Buhner,Portland Fire,F,False,18.0,9.0,5.0,1.0,0.0,1.0,2.0,,,,,,,11.0,2026-07-17T10:15:01.981256
2026-07-16,401857071,Nyadiew Puoch,Portland Fire,F,False,14.0,0.0,2.0,0.0,1.0,0.0,0.0,,,,,,,-1.0,2026-07-17T10:15:01.981262
2026-07-16,401857071,Luisa Geiselsoder,Portland Fire,C,False,15.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,,,2.0,2026-07-17T10:15:01.981274
2026-07-16,401857071,Karlie Samuelson,Portland Fire,G,False,13.0,3.0,1.0,1.0,0.0,0.0,2.0,,,,,,,11.0,2026-07-17T10:15:01.981281
2026-07-16,401857071,Holly Winterburn,Portland Fire,G,False,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,2026-07-17T10:15:01.981287
2026-07-16,401857071,Teja Oblak,Portland Fire,G,False,17.0,9.0,1.0,2.0,0.0,0.0,3.0,,,,,,,1.0,2026-07-17T10:15:01.981293
2026-07-16,401857071,Sania Feagin,Portland Fire,F,False,,,,,,,,,,,,,,,2026-07-17T10:15:01.981297
2026-07-16,401857071,Megan Gustafson,Portland Fire,C,False,,,,,,,,,,,,,,,2026-07-17T10:15:01.981302
2026-07-16,401857071,Michaela Onyenwere,Washington Mystics,F,True,26.0,5.0,6.0,1.0,1.0,0.0,1.0,,,,,,,-14.0,2026-07-17T10:15:01.981309
2026-07-16,401857071,Kiki Iriafen,Washington Mystics,F,True,24.0,2.0,5.0,0.0,1.0,1.0,3.0,,,,,,,-21.0,2026-07-17T10:15:01.981315
2026-07-16,401857071,Shakira Austin,Washington Mystics,C,True,33.0,19.0,9.0,4.0,0.0,2.0,3.0,,,,,,,-14.0,2026-07-17T10:15:01.981320
2026-07-16,401857071,Sonia Citron,Washington Mystics,G,True,29.0,8.0,6.0,3.0,0.0,0.0,2.0,,,,,,,-15.0,2026-07-17T10:15:01.981325
2026-07-16,401857071,Georgia Amoore,Washington Mystics,G,True,16.0,3.0,1.0,2.0,0.0,0.0,4.0,,,,,,,-19.0,2026-07-17T10:15:01.981332
2026-07-16,401857071,Angela Dugalic,Washington Mystics,F,False,8.0,2.0,3.0,0.0,0.0,1.0,1.0,,,,,,,-5.0,2026-07-17T10:15:01.981338
2026-07-16,401857071,Lauren Betts,Washington Mystics,C,False,12.0,6.0,4.0,0.0,1.0,0.0,0.0,,,,,,,3.0,2026-07-17T10:15:01.981343
2026-07-16,401857071,Rori Harmon,Washington Mystics,G,False,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-1.0,2026-07-17T10:15:01.981349
2026-07-16,401857071,Lucy Olsen,Washington Mystics,G,False,3.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,-1.0,2026-07-17T10:15:01.981356
2026-07-16,401857071,Cotie McMahon,Washington Mystics,G,False,12.0,1.0,4.0,0.0,1.0,0.0,1.0,,,,,,,-7.0,2026-07-17T10:15:01.981361
2026-07-16,401857071,Cassandre Prosper,Washington Mystics,G,False,17.0,3.0,2.0,0.0,0.0,0.0,2.0,,,,,,,-2.0,2026-07-17T10:15:01.981366
2026-07-16,401857071,Alicia Florez,Washington Mystics,G,False,18.0,5.0,4.0,1.0,0.0,0.0,2.0,,,,,,,1.0,2026-07-17T10:15:01.981371
2026-07-16,401857071,Darianna Littlepage-Buggs,Washington Mystics,G,False,,,,,,,,,,,,,,,2026-07-17T10:15:01.981375
