game_date,game_id,commence_time,home_team,away_team,spread_home,spread_home_juice,total,total_over_juice,ml_home,ml_away,num_books,source,scraped_at
2026-07-11,9f2c4d943190edd1073d4cd6760fcf8c,2026-07-11T20:00:00Z,Atlanta Dream,Portland Fire,-12.5,-111.27,173.73,-109.55,-766.0,519.91,11,the-odds-api,2026-07-11T19:51:52.152090+00:00
2026-07-11,dbbae9c1944a4874fe492f9fe23d8f62,2026-07-11T22:00:00Z,Las Vegas Aces,Phoenix Mercury,-8.32,-107.73,169.18,-70.91,-359.09,280.09,11,the-odds-api,2026-07-11T19:51:52.152133+00:00
2026-07-11,a82c548dd13bf0b9134cd20a43ac88de,2026-07-12T19:00:00Z,Washington Mystics,Seattle Storm,-3.5,-109.71,159.71,-106.86,-156.25,130.0,7,the-odds-api,2026-07-11T19:51:52.152153+00:00
2026-07-11,15504ed1a378321542911fbfb7a49591,2026-07-12T23:00:00Z,Dallas Wings,Chicago Sky,-9.5,-109.71,176.93,-109.71,-427.5,325.75,7,the-odds-api,2026-07-11T19:51:52.152172+00:00
