game_date,game_id,player,team,position,starter,minutes,pts,reb,ast,stl,blk,tov,fgm,fga,threes,threes_att,ftm,fta,plus_minus,scraped_at
2026-07-15,401857068,Dominique Malonga,Seattle Storm,C,True,29.0,16.0,12.0,4.0,2.0,1.0,2.0,,,,,,,-10.0,2026-07-16T10:23:27.047460
2026-07-15,401857068,Awa Fam,Seattle Storm,C,True,31.0,14.0,7.0,3.0,1.0,2.0,2.0,,,,,,,-5.0,2026-07-16T10:23:27.047479
2026-07-15,401857068,Natisha Hiedeman,Seattle Storm,G,True,30.0,6.0,3.0,3.0,0.0,0.0,3.0,,,,,,,6.0,2026-07-16T10:23:27.047487
2026-07-15,401857068,Flau'jae Johnson,Seattle Storm,G,True,31.0,25.0,6.0,4.0,3.0,1.0,3.0,,,,,,,-3.0,2026-07-16T10:23:27.047493
2026-07-15,401857068,Jade Melbourne,Seattle Storm,G,True,26.0,11.0,3.0,5.0,1.0,0.0,2.0,,,,,,,2.0,2026-07-16T10:23:27.047499
2026-07-15,401857068,Katie Lou Samuelson,Seattle Storm,F,False,20.0,11.0,3.0,0.0,2.0,0.0,0.0,,,,,,,-9.0,2026-07-16T10:23:27.047507
2026-07-15,401857068,Jordan Horston,Seattle Storm,F,False,14.0,1.0,4.0,2.0,0.0,0.0,3.0,,,,,,,-4.0,2026-07-16T10:23:27.047513
2026-07-15,401857068,Stefanie Dolson,Seattle Storm,C,False,9.0,0.0,6.0,2.0,1.0,0.0,1.0,,,,,,,0.0,2026-07-16T10:23:27.047523
2026-07-15,401857068,Zia Cooke,Seattle Storm,G,False,9.0,6.0,1.0,1.0,0.0,0.0,0.0,,,,,,,-2.0,2026-07-16T10:23:27.047530
2026-07-15,401857068,Ezi Magbegor,Seattle Storm,F,False,,,,,,,,,,,,,,,2026-07-16T10:23:27.047535
2026-07-15,401857068,Mackenzie Holmes,Seattle Storm,F,False,,,,,,,,,,,,,,,2026-07-16T10:23:27.047539
2026-07-15,401857068,Taylor Thierry,Seattle Storm,F,False,,,,,,,,,,,,,,,2026-07-16T10:23:27.047543
2026-07-15,401857068,Azura Stevens,Chicago Sky,F,True,33.0,20.0,8.0,4.0,0.0,0.0,3.0,,,,,,,2.0,2026-07-16T10:23:27.047551
2026-07-15,401857068,Elizabeth Williams,Chicago Sky,C,True,28.0,5.0,7.0,4.0,2.0,3.0,1.0,,,,,,,-6.0,2026-07-16T10:23:27.047557
2026-07-15,401857068,Courtney Vandersloot,Chicago Sky,G,True,20.0,8.0,1.0,6.0,3.0,0.0,1.0,,,,,,,2.0,2026-07-16T10:23:27.047563
2026-07-15,401857068,Natasha Cloud,Chicago Sky,G,True,30.0,13.0,2.0,6.0,4.0,1.0,4.0,,,,,,,0.0,2026-07-16T10:23:27.047574
2026-07-15,401857068,Sydney Taylor,Chicago Sky,G,True,25.0,17.0,5.0,0.0,1.0,0.0,2.0,,,,,,,0.0,2026-07-16T10:23:27.047581
