player_id,game_id,game_date,season,player,team,opponent,games_before,days_rest,back_to_back,long_rest,minutes_avg_l3,minutes_std_l3,points_avg_l3,points_std_l3,rebounds_avg_l3,rebounds_std_l3,assists_avg_l3,assists_std_l3,steals_avg_l3,steals_std_l3,blocks_avg_l3,blocks_std_l3,turnovers_avg_l3,turnovers_std_l3,minutes_avg_l5,minutes_std_l5,points_avg_l5,points_std_l5,rebounds_avg_l5,rebounds_std_l5,assists_avg_l5,assists_std_l5,steals_avg_l5,steals_std_l5,blocks_avg_l5,blocks_std_l5,turnovers_avg_l5,turnovers_std_l5,minutes_avg_l10,minutes_std_l10,points_avg_l10,points_std_l10,rebounds_avg_l10,rebounds_std_l10,assists_avg_l10,assists_std_l10,steals_avg_l10,steals_std_l10,blocks_avg_l10,blocks_std_l10,turnovers_avg_l10,turnovers_std_l10,pra_avg_l3,pra_avg_l5,pra_avg_l10,minutes_season_avg,points_season_avg,rebounds_season_avg,assists_season_avg,steals_season_avg,blocks_season_avg,turnovers_season_avg,minutes_trend_5v10,points_trend_5v10,matchup_games,matchup_minutes_avg,matchup_points_avg,matchup_rebounds_avg,matchup_assists_avg,matchup_steals_avg,matchup_blocks_avg,matchup_turnovers_avg,availability_status,availability_snapshot_date,availability_risk,feature_ready
pl_016b4b6eb75cb3e2,fbeebbd41da0ddd0,2026-07-22,2026,Brittney Griner,Sun,,111,3.0,0,0,27.0,3.605551275463989,17.0,4.358898943540674,5.0,1.0,3.3333333333333335,3.055050463303893,0.3333333333333333,0.5773502691896258,1.6666666666666667,0.5773502691896257,1.6666666666666667,0.5773502691896258,27.0,3.6055512754639922,17.0,4.358898943540671,5.0,1.0000000000000009,3.3333333333333335,3.055050463303893,0.3333333333333333,0.5773502691896258,1.6666666666666667,0.5773502691896258,1.6666666666666667,0.5773502691896258,26.5,4.659858980085749,16.625,6.045954964153419,6.75,3.058944729337693,2.625,1.8468119248354127,0.375,0.744023809142845,1.875,0.9910312089651155,1.875,0.8345229603962802,25.333333333333332,25.333333333333332,26.0,25.470588235294116,14.235294117647058,5.529411764705882,2.4705882352941178,0.5294117647058824,1.6470588235294117,1.6470588235294117,0.5,0.375,112,23.967391304347824,13.217391304347826,5.5978260869565215,1.608695652173913,0.3369565217391304,1.3695652173913044,1.608695652173913,unknown,,0,1
pl_02fd8d1180014835,5f8f08e61bfae048,2026-07-22,2026,Luisa Geiselsoder,Fire,,62,4.0,0,1,13.0,2.8284271247461903,0.5,0.7071067811865476,1.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,10.666666666666666,4.509249752822894,1.3333333333333333,1.5275252316519468,1.3333333333333333,0.5773502691896257,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,11.5,4.04145188432735,1.5,1.2909944487357543,1.75,0.9574271077563495,0.75,0.9574271077563346,0.0,0.0,0.5,1.0000000000000007,0.25,0.5,2.5,3.0,4.0,17.428571428571427,4.809523809523809,2.8095238095238093,1.2857142857142858,0.3333333333333333,0.42857142857142855,1.0476190476190477,-0.8333333333333339,-0.16666666666666674,63,20.244897959183675,5.979591836734694,3.918367346938776,1.4489795918367347,0.5918367346938775,0.5714285714285714,1.020408163265306,unknown,,0,1
pl_035b628ad688ee7f,fbeebbd41da0ddd0,2026-07-22,2026,Kennedy Burke,Sun,,124,3.0,0,0,20.333333333333332,6.506407098647711,7.0,5.5677643628300215,3.6666666666666665,2.516611478423583,1.0,0.9999999999999996,0.6666666666666666,0.5773502691896258,0.3333333333333333,0.5773502691896258,1.0,1.0,21.6,5.504543577809153,4.8,5.069516742254631,3.4,1.9493588689617924,1.2,1.3038404810405297,0.8,0.44721359549995787,0.8,1.3038404810405297,1.0,0.7071067811865478,23.6,4.452215428550389,8.5,6.004627844883939,2.9,1.728840330651992,1.5,1.0801234497346432,1.1,0.7378647873726225,0.8,1.0327955589886442,1.0,0.9428090415820634,11.666666666666666,9.4,12.9,23.53846153846154,7.615384615384615,3.230769230769231,1.6538461538461537,1.0,0.7692307692307693,1.5384615384615385,-2.0,-3.7,125,17.846846846846848,5.891891891891892,2.2432432432432434,1.162162162162162,0.7297297297297297,0.4684684684684684,0.981981981981982,unknown,,0,1
pl_03acaff4a1a3a5b9,fbeebbd41da0ddd0,2026-07-22,2026,Aneesah Morrow,Sun,,71,3.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.185352771872392,4.0,3.6055512754640042,4.333333333333333,4.93288286231624,1.3333333333333333,2.3094010767585034,1.0,0.9999999999999968,0.0,0.0,1.0,0.9999999999999964,,,9.666666666666666,22.333333333333332,10.38888888888889,9.277777777777779,1.3888888888888888,0.8888888888888888,0.3888888888888889,1.7222222222222223,,,72,19.98333333333333,8.516666666666667,7.616666666666666,0.8,0.8166666666666667,0.4333333333333333,1.2833333333333334,unknown,,0,1
pl_041d1a799cefd8f8,510f69af17cd6010,2026-07-20,2026,Tima Pouye,Tempo,,17,3.0,0,0,8.333333333333334,4.725815626252609,2.3333333333333335,2.516611478423583,0.6666666666666666,1.1547005383792517,0.6666666666666666,0.5773502691896258,0.0,0.0,0.0,0.0,1.3333333333333333,1.5275252316519468,9.4,3.9115214431215892,2.2,1.7888543819998317,0.6,0.8944271909999159,0.8,0.44721359549995743,0.0,0.0,0.0,0.0,0.8,1.3038404810405297,11.6,5.719362823873926,3.6,3.806427312965386,0.9,0.8755950357709131,1.3,1.2516655570345725,0.1,0.31622776601683794,0.0,0.0,0.9,0.9944289260117533,3.6666666666666665,3.6,5.8,9.882352941176471,3.0,0.8235294117647058,1.2352941176470589,0.17647058823529413,0.0,0.7058823529411765,-2.1999999999999993,-1.4,18,9.72222222222222,2.9444444444444446,0.8333333333333334,1.2222222222222223,0.1666666666666666,0.0,0.6666666666666666,unknown,,0,1
pl_0538d809f7d14b6b,a42e15eb7933db07,2026-07-25,2026,Allisha Gray,TEAM SPOON,,116,6.0,0,1,32.666666666666664,2.5166114784235813,22.333333333333332,5.859465277082316,3.3333333333333335,2.5166114784235836,2.3333333333333335,0.5773502691896257,1.0,1.0,0.3333333333333333,0.5773502691896257,0.6666666666666666,0.5773502691896258,32.2,1.9235384061671283,21.8,4.266145801540305,3.2,1.788854381999831,2.8,1.3038404810405297,1.0,0.7071067811865477,0.4,0.5477225575051661,1.2,1.095445115010332,32.6,3.3730961708462686,18.5,5.6223759311443295,3.0,1.4907119849998574,2.4,1.2649110640673507,1.2,0.6324555320336769,0.3,0.48304589153964783,1.6,1.173787790777267,28.0,27.8,23.9,32.18518518518518,18.51851851851852,3.1481481481481484,2.185185185185185,1.4814814814814814,0.3333333333333333,1.5555555555555556,-0.3999999999999986,3.3000000000000007,117,33.12820512820513,17.358974358974358,4.452991452991453,2.829059829059829,1.1538461538461535,0.4786324786324786,1.641025641025641,unknown,,0,1
pl_070c464d42a619f8,6efac85c4c2b9b0f,2026-07-22,2026,Raquel Carrera,Liberty,,23,2.0,0,0,6.0,2.645751311064592,1.3333333333333333,2.3094010767585034,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,5.2,2.2803508501982757,1.2,1.7888543819998313,0.2,0.4472135954999579,0.2,0.4472135954999579,0.0,0.0,0.2,0.4472135954999579,0.2,0.4472135954999581,6.666666666666667,4.387482193696061,1.6666666666666667,2.449489742783178,1.1111111111111112,1.964971020425266,0.1111111111111111,0.33333333333333337,0.1111111111111111,0.33333333333333337,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.7264831572567789,1.6666666666666667,1.6,2.888888888888889,5.733333333333333,1.9333333333333333,1.0,0.2,0.06666666666666667,0.13333333333333333,0.4666666666666667,-1.4666666666666668,-0.4666666666666668,24,5.5625,1.8125,0.9375,0.25,0.0625,0.125,0.4375,unknown,,0,1
pl_08f6eb03f818874d,5f8f08e61bfae048,2026-07-22,2026,Teja Oblak,Fire,,23,4.0,0,1,11.333333333333334,5.131601439446885,4.333333333333333,4.041451884327381,0.3333333333333333,0.5773502691896258,1.0,1.0,0.3333333333333333,0.5773502691896264,0.0,0.0,2.6666666666666665,1.5275252316519465,13.0,4.415880433163923,6.8,4.43846820423443,0.6,0.5477225575051659,2.4,2.7018512172212596,0.6,0.8944271909999159,0.0,0.0,2.4,1.1401754250991378,11.9,3.784471194529326,5.4,3.4383458555273676,1.1,0.9944289260117526,1.8,2.097617696340303,0.6,0.8432740427115678,0.0,0.0,2.4,0.8432740427115677,5.666666666666667,9.8,8.3,13.4,6.0,1.5,2.85,0.6,0.0,2.45,1.0999999999999996,1.3999999999999995,24,13.19047619047619,5.809523809523809,1.4761904761904765,2.761904761904762,0.5714285714285714,0.0,2.380952380952381,unknown,,0,1
pl_092898e508f00a7d,510f69af17cd6010,2026-07-20,2026,Kayla Alexander,Tempo,,4,3.0,0,0,7.0,8.48528137423857,1.0,1.4142135623730951,1.5,2.1213203435596424,0.5,0.7071067811865476,0.5,0.7071067811865476,0.5,0.7071067811865476,0.5,0.7071067811865476,8.0,6.244997998398398,1.0,1.0,1.6666666666666667,1.5275252316519465,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,0.6666666666666666,0.5773502691896258,8.0,6.244997998398398,1.0,1.0,1.6666666666666667,1.5275252316519465,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,0.6666666666666666,0.5773502691896258,3.0,3.0,3.0,8.0,1.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,5,10.0,2.25,2.75,0.5,0.25,0.25,1.0,unknown,,0,1
pl_093df112d6857361,983cd3a5caddf7e2,2026-05-03,2026,Stephanie Jones,Dream,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.0,3.0,6.0,1.0,0.0,0.0,2.0,unknown,,0,0
