archive_index,date,player,game,stat,alt_line,side,audit_classification,warehouse_game_id,warehouse_date,cardinality,classification,requested_stat_values,unique_requested_stat_values,safe_to_collapse,record_ids,sources,candidate_games,same_player_date_candidate_count,legacy_outcome,legacy_actual
661,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PR,13.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,19.0
662,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PTS,10.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,15.0
665,2026-07-28,Kayla McBride,Toronto Tempo @ Minnesota Lynx,AST,2.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,4.0
666,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,AST,5.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
668,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,2.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
671,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,RA,9.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,13.0
674,2026-07-28,Kayla McBride,Toronto Tempo @ Minnesota Lynx,RA,5.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,WIN,5.0
676,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,REB,4.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,7.0
679,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PTS,15.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,33.0
682,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
684,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PR,17.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,39.0
685,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,REB,2.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
689,2026-07-28,Awa Fam,Indiana Fever @ Seattle Storm,REB,6.5,OVER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,5.0
699,2026-07-28,Kayla McBride,Toronto Tempo @ Minnesota Lynx,AST,2.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,4.0
700,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,AST,5.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
702,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,2.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
705,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,RA,9.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,13.0
708,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,REB,4.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,7.0
712,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,RA,11.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,WIN,3.0
713,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PTS,15.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,33.0
714,2026-07-28,Olivia Miles,Toronto Tempo @ Minnesota Lynx,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,4.0
716,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,REB,9.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,14.0
718,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
719,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PTS,12.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,13.0
722,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PR,17.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,39.0
723,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,RA,13.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,18.0
724,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,REB,2.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
725,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,WIN,1.0
726,2026-07-28,Kelsey Mitchell,Indiana Fever @ Seattle Storm,AST,2.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,WIN,2.0
727,2026-07-28,Awa Fam,Indiana Fever @ Seattle Storm,REB,6.5,OVER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,5.0
728,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,REB,8.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,WIN,2.0
729,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PTS,11.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,13.0
730,2026-07-28,Breanna Stewart,New York Liberty @ Los Angeles Sparks,REB,8.5,OVER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,4.0
731,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,RA,12.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,18.0
734,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PA,14.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,17.0
735,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PR,18.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,19.0
736,2026-07-28,Breanna Stewart,New York Liberty @ Los Angeles Sparks,RA,12.5,OVER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,11.0
737,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PRA,21.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,23.0
739,2026-07-28,Kayla McBride,Toronto Tempo @ Minnesota Lynx,AST,2.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,4.0
740,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,AST,5.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
744,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,RA,9.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,13.0
747,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,REB,8.5,OVER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,4.0
748,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,REB,4.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,7.0
751,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,RA,11.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,WIN,3.0
753,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PTS,15.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,33.0
754,2026-07-28,Olivia Miles,Toronto Tempo @ Minnesota Lynx,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,4.0
756,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PR,18.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,39.0
757,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,REB,9.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,14.0
759,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PTS,12.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,13.0
762,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
763,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,RA,13.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,18.0
765,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,REB,2.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,6.0
766,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,PTS,17.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,21.0
767,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,WIN,1.0
768,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,REB,8.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,WIN,2.0
769,2026-07-28,Kelsey Mitchell,Indiana Fever @ Seattle Storm,AST,2.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,WIN,2.0
770,2026-07-28,Awa Fam,Indiana Fever @ Seattle Storm,REB,6.5,OVER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,5.0
771,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PTS,11.5,UNDER,EXACT_MATCH,,2026-07-28,0,ZERO_MATCH,,0,False,,,,2,LOSS,13.0
