archive_index,canonical_game_date,canonical_game_id,date,game,method,player,source,status
566,2026-07-19,401857082,2026-07-19,Connecticut Sun @ Indiana Fever,local_raw_unique_player_game_same_date,Charlisse Leger-Walker,data/raw/boxscores_2026-07-19.csv,RESOLVED_LOCAL
570,2026-07-19,401857080,2026-07-19,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Ariel Atkins,data/raw/boxscores_2026-07-19.csv,RESOLVED_LOCAL
575,2026-07-19,401857080,2026-07-19,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Ariel Atkins,data/raw/boxscores_2026-07-19.csv,RESOLVED_LOCAL
576,2026-07-19,401857082,2026-07-19,Connecticut Sun @ Indiana Fever,local_raw_unique_player_game_same_date,Brittney Griner,data/raw/boxscores_2026-07-19.csv,RESOLVED_LOCAL
583,,,2026-07-21,Minnesota Lynx @ Seattle Storm,,Kayla McBride,,UNRESOLVED_LOCAL
585,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,DeWanna Bonner,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
586,,,2026-07-21,Minnesota Lynx @ Seattle Storm,,Natisha Hiedeman,,UNRESOLVED_LOCAL
589,2026-07-22,401857089,2026-07-22,Las Vegas Aces @ Washington Mystics,local_raw_unique_player_game_same_date,Sonia Citron,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
596,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Dearica Hamby,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
599,,,2026-07-21,Minnesota Lynx @ Seattle Storm,,Natasha Howard,,UNRESOLVED_LOCAL
600,,,2026-07-21,Minnesota Lynx @ Seattle Storm,,Courtney Williams,,UNRESOLVED_LOCAL
602,2026-07-22,401857089,2026-07-22,Las Vegas Aces @ Washington Mystics,local_raw_unique_player_game_same_date,NaLyssa Smith,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
605,,,2026-07-21,Minnesota Lynx @ Seattle Storm,,Natasha Howard,,UNRESOLVED_LOCAL
607,,,2026-07-21,Minnesota Lynx @ Seattle Storm,,Kayla McBride,,UNRESOLVED_LOCAL
609,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Ariel Atkins,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
610,,,2026-07-21,Minnesota Lynx @ Seattle Storm,,Natasha Howard,,UNRESOLVED_LOCAL
612,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Ariel Atkins,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
613,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Ariel Atkins,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
614,,,2026-07-21,Minnesota Lynx @ Seattle Storm,,Natisha Hiedeman,,UNRESOLVED_LOCAL
615,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Ariel Atkins,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
616,,,2026-07-21,Minnesota Lynx @ Seattle Storm,,Natisha Hiedeman,,UNRESOLVED_LOCAL
617,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Ariel Atkins,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
620,,,2026-07-21,Minnesota Lynx @ Seattle Storm,,Courtney Williams,,UNRESOLVED_LOCAL
622,2026-07-22,401857087,2026-07-22,Minnesota Lynx @ Seattle Storm,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
623,2026-07-22,401857087,2026-07-22,Minnesota Lynx @ Seattle Storm,local_raw_unique_player_game_same_date,Kayla McBride,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
626,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,DeWanna Bonner,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
627,2026-07-22,401857087,2026-07-22,Minnesota Lynx @ Seattle Storm,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
629,2026-07-22,401857087,2026-07-22,Minnesota Lynx @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
632,2026-07-22,401857089,2026-07-22,Las Vegas Aces @ Washington Mystics,local_raw_unique_player_game_same_date,Sonia Citron,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
644,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Dearica Hamby,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
645,2026-07-22,401857086,2026-07-22,Phoenix Mercury @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Dearica Hamby,data/raw/boxscores_2026-07-22.csv,RESOLVED_LOCAL
