archive_date,archive_game,archive_index,candidate_dates,candidate_event_ids,detail,player,status
2026-07-15,New York Liberty @ Dallas Wings,264,[],[],,Paige Bueckers,AMBIGUOUS_OR_MISSING
,,265,,,2026-07-15: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260715,,FETCH_ERROR
,,265,,,2026-07-12: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260712,,FETCH_ERROR
,,265,,,2026-07-13: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260713,,FETCH_ERROR
,,265,,,2026-07-14: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260714,,FETCH_ERROR
,,265,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,265,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,265,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
2026-07-15,Seattle Storm @ Chicago Sky,265,[],[],,Kamilla Cardoso,AMBIGUOUS_OR_MISSING
,,266,,,2026-07-15: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260715,,FETCH_ERROR
,,266,,,2026-07-12: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260712,,FETCH_ERROR
,,266,,,2026-07-13: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260713,,FETCH_ERROR
,,266,,,2026-07-14: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260714,,FETCH_ERROR
,,266,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,266,,,2026-07-17: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260717,,FETCH_ERROR
,,266,,,2026-07-18: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260718,,FETCH_ERROR
2026-07-15,Seattle Storm @ Chicago Sky,266,[],[],,Kamilla Cardoso,AMBIGUOUS_OR_MISSING
,,273,,,2026-07-16: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260716,,FETCH_ERROR
,,273,,,2026-07-13: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260713,,FETCH_ERROR
,,273,,,2026-07-14: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260714,,FETCH_ERROR
,,273,,,2026-07-15: 403 Client Error: Forbidden for url: https://site.api.espn.com/apis/site/v2/sports/basketball/wnba/scoreboard?dates=20260715,,FETCH_ERROR
