team,stat,games_sampled,player_observations,allowed_avg,league_avg,defense_index,last5_allowed_avg,last10_allowed_avg,home_allowed_avg,away_allowed_avg,allowed_percentile,defense_strength_percentile
Las Vegas Aces,PR,5,6,21.3333,18.1538,1.1751,21.3333,21.3333,25.0,19.5,76.47,23.53
Las Vegas Aces,PRA,2,3,23.6667,21.8028,1.0855,23.6667,23.6667,33.0,19.0,76.47,23.53
Las Vegas Aces,PTS,3,5,19.6,13.8718,1.4129,19.6,19.6,23.0,17.3333,88.24,11.76
Las Vegas Aces,RA,3,4,9.0,9.4211,0.9553,9.0,9.0,15.0,7.0,60.0,40.0
Las Vegas Aces,REB,5,9,2.8889,4.8158,0.5999,2.8889,2.8889,1.6667,3.5,23.53,76.47
Los Angeles Sparks,3PM,2,3,2.0,1.75,1.1429,2.0,2.0,,2.0,75.0,25.0
Los Angeles Sparks,AST,1,1,6.0,3.9733,1.5101,6.0,6.0,6.0,,87.5,12.5
Los Angeles Sparks,PA,4,5,16.2,17.3333,0.9346,16.2,16.2,,16.2,35.29,64.71
Los Angeles Sparks,PR,4,7,17.5714,18.1538,0.9679,17.5714,17.5714,,17.5714,58.82,41.18
Los Angeles Sparks,PRA,5,8,20.75,21.8028,0.9517,20.75,20.75,,20.75,35.29,64.71
Los Angeles Sparks,PTS,4,8,13.125,13.8718,0.9462,13.125,13.125,,13.125,41.18,58.82
Los Angeles Sparks,RA,4,7,9.7143,9.4211,1.0311,9.7143,9.7143,12.0,8.8,66.67,33.33
Los Angeles Sparks,REB,6,9,5.3333,4.8158,1.1075,5.625,5.3333,6.0,5.0,76.47,23.53
Minnesota Lynx,3PM,3,4,2.25,1.75,1.2857,2.25,2.25,2.0,2.3333,87.5,12.5
Minnesota Lynx,AST,2,2,7.5,3.9733,1.8876,7.5,7.5,7.5,,100.0,0.0
Minnesota Lynx,PA,1,1,28.0,17.3333,1.6154,28.0,28.0,28.0,,100.0,0.0
Minnesota Lynx,PR,2,2,18.5,18.1538,1.0191,18.5,18.5,23.0,14.0,64.71,35.29
