ranking_key,date,player,game,player_team,opponent,stat,side,rotation_adjusted_projection,rotation_risk_band,archetype_status,opponent_overall_archetype,opponent_archetype_signature,opponent_primary_strength_stat,opponent_primary_weakness_stat,opponent_recent_defense_trend,opponent_venue_defense_profile,stat_specific_archetype,position_specific_available
2026-08-29|natasha mack|toronto tempo @ phoenix mercury|pr|over,2026-08-29,Natasha Mack,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PR,OVER,,MODERATE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_REBOUNDING_STRONG_SUPPRESSION,True
2026-08-29|natasha mack|toronto tempo @ phoenix mercury|pr|under,2026-08-29,Natasha Mack,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PR,UNDER,,MODERATE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_REBOUNDING_STRONG_SUPPRESSION,True
2026-08-29|natasha mack|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Natasha Mack,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PTS,OVER,,MODERATE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_STRONG_SUPPRESSION,True
2026-08-29|natasha mack|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Natasha Mack,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PTS,OVER,,MODERATE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_STRONG_SUPPRESSION,True
2026-08-29|natasha mack|toronto tempo @ phoenix mercury|pts|under,2026-08-29,Natasha Mack,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PTS,UNDER,,MODERATE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_STRONG_SUPPRESSION,True
2026-08-29|natasha mack|toronto tempo @ phoenix mercury|reb|over,2026-08-29,Natasha Mack,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,REB,OVER,,MODERATE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,REBOUNDING_NEUTRAL,True
2026-08-29|natasha mack|toronto tempo @ phoenix mercury|reb|over,2026-08-29,Natasha Mack,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,REB,OVER,,MODERATE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,REBOUNDING_NEUTRAL,True
2026-08-29|natasha mack|toronto tempo @ phoenix mercury|reb|under,2026-08-29,Natasha Mack,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,REB,UNDER,,MODERATE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,REBOUNDING_NEUTRAL,True
2026-08-29|natasha mack|toronto tempo @ phoenix mercury|reb|under,2026-08-29,Natasha Mack,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,REB,UNDER,,MODERATE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,REBOUNDING_NEUTRAL,True
2026-08-29|noemie brochant|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Noemie Brochant,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PTS,OVER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_STRONG_SUPPRESSION,True
2026-08-29|noemie brochant|toronto tempo @ phoenix mercury|pts|under,2026-08-29,Noemie Brochant,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PTS,UNDER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_STRONG_SUPPRESSION,True
