archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,market_implied_probability,model_score,score_band,prior_games,prior_actual_mean,prior_actual_std,prior_actual_min,prior_actual_max,rolling3_actual_mean,rolling5_actual_mean,rolling10_actual_mean,rolling5_actual_std,rolling10_actual_std,rolling5_trend_slope,rolling10_trend_slope,line_minus_prior_mean,historical_hit_rate_at_current_line,historical_hit_rate_l5_at_current_line,historical_hit_rate_l10_at_current_line,target_actual,target_win,canonical_outcome,certification
55,2026-07-12,401857062,Azzi Fudd,PRA,UNDER,19.5,-131.0,0.5670995670995671,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,1,WIN,PRIMARY_CERTIFIED
52,2026-07-12,401857062,Azzi Fudd,PTS,UNDER,14.5,-113.0,0.5305164319248826,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,1,WIN,PRIMARY_CERTIFIED
59,2026-07-12,401857062,Courtney Vandersloot,PA,UNDER,12.5,-107.5,0.5180722891566265,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
56,2026-07-12,401857062,Courtney Vandersloot,PTS,UNDER,7.5,-103.75,0.50920245398773,,UNKNOWN,0,,,,,,,,,,,,,,,,4.0,1,WIN,PRIMARY_CERTIFIED
57,2026-07-12,401857062,Kamilla Cardoso,PA,UNDER,18.5,-130.0,0.5652173913043478,,UNKNOWN,0,,,,,,,,,,,,,,,,6.0,1,WIN,PRIMARY_CERTIFIED
60,2026-07-12,401857062,Kamilla Cardoso,PR,UNDER,23.5,-113.0,0.5305164319248826,,UNKNOWN,0,,,,,,,,,,,,,,,,9.0,1,WIN,PRIMARY_CERTIFIED
58,2026-07-12,401857062,Kamilla Cardoso,PRA,UNDER,26.5,-113.33,0.5312426756668073,,UNKNOWN,0,,,,,,,,,,,,,,,,9.0,1,WIN,PRIMARY_CERTIFIED
61,2026-07-12,401857062,Kamilla Cardoso,PTS,UNDER,15.5,-128.0,0.5614035087719298,,UNKNOWN,0,,,,,,,,,,,,,,,,6.0,1,WIN,PRIMARY_CERTIFIED
53,2026-07-12,401857062,Kamilla Cardoso,RA,UNDER,11.5,-118.0,0.5412844036697247,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,1,WIN,PRIMARY_CERTIFIED
54,2026-07-12,401857062,Kamilla Cardoso,REB,UNDER,8.5,-117.5,0.5402298850574713,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,1,WIN,PRIMARY_CERTIFIED
50,2026-07-12,401857062,Natasha Cloud,AST,OVER,4.5,-156.67,0.6103946701990883,,UNKNOWN,0,,,,,,,,,,,,,,,,1.0,0,LOSS,PRIMARY_CERTIFIED
