player_id,snapshot_date,game_date,team,player,source_player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at,season,source_file
pl_5e5e60cba7614544,2026-07-05,2026-07-05,Las Vegas Aces,A'ja Wilson,,C,OUT,OUT,,Temporary manual override after injury flag; remove or update when active again.,2026-07-07,True,manual,2026-07-05T22:09:18.177266+00:00,2026,injuries_2026-07-05.csv|injuries_historical.csv
pl_5e5e60cba7614544,2026-07-06,2026-07-06,Las Vegas Aces,A'ja Wilson,,C,OUT,OUT,,Temporary manual override after injury flag; remove or update when active again.,2026-07-07,True,manual,2026-07-07T01:10:36.561314+00:00,2026,injuries_2026-07-06.csv|injuries_historical.csv
pl_5e5e60cba7614544,2026-07-07,2026-07-07,Las Vegas Aces,A'ja Wilson,,C,OUT,OUT,,Temporary manual override after injury flag; remove or update when active again.,2026-07-07,True,manual,2026-07-07T15:38:41.331884+00:00,2026,injuries_2026-07-07.csv|injuries_historical.csv
