player_id,opponent,minutes,points,rebounds,assists,steals,blocks,turnovers,games
pl_016b4b6eb75cb3e2,,23.967391304347824,13.217391304347826,5.5978260869565215,1.608695652173913,0.33695652173913043,1.3695652173913044,1.608695652173913,112
pl_02fd8d1180014835,,20.244897959183675,5.979591836734694,3.9183673469387754,1.4489795918367347,0.5918367346938775,0.5714285714285714,1.0204081632653061,63
pl_035b628ad688ee7f,,17.846846846846848,5.891891891891892,2.2432432432432434,1.162162162162162,0.7297297297297297,0.46846846846846846,0.9819819819819819,125
pl_03acaff4a1a3a5b9,,19.983333333333334,8.516666666666667,7.616666666666666,0.8,0.8166666666666667,0.43333333333333335,1.2833333333333334,72
pl_041d1a799cefd8f8,,9.722222222222221,2.9444444444444446,0.8333333333333334,1.2222222222222223,0.16666666666666666,0.0,0.6666666666666666,18
pl_0538d809f7d14b6b,,33.12820512820513,17.358974358974358,4.452991452991453,2.8290598290598292,1.1538461538461537,0.47863247863247865,1.641025641025641,117
pl_070c464d42a619f8,,5.5625,1.8125,0.9375,0.25,0.0625,0.125,0.4375,24
pl_08f6eb03f818874d,,13.19047619047619,5.809523809523809,1.4761904761904763,2.761904761904762,0.5714285714285714,0.0,2.380952380952381,24
pl_092898e508f00a7d,,10.0,2.25,2.75,0.5,0.25,0.25,1.0,5
pl_093df112d6857361,,20.0,3.0,6.0,1.0,0.0,0.0,2.0,1
pl_0a03311b1e1c6aef,,27.0,2.0,1.0,2.0,1.0,0.0,3.0,1
pl_0a5d6b83c356de72,,19.0,10.25,4.25,0.0,0.25,1.5,1.5,24
pl_0a6173733ae1e3ea,,15.957983193277311,1.6554621848739495,4.0588235294117645,0.6470588235294118,0.48739495798319327,0.8151260504201681,0.3949579831932773,125
pl_0d66b1760232f8b8,,12.583333333333334,3.0555555555555554,1.9166666666666667,0.8055555555555556,0.3611111111111111,0.19444444444444445,0.5555555555555556,42
pl_0df46667a621d970,,23.655172413793103,6.594827586206897,3.560344827586207,1.3620689655172413,0.8879310344827587,0.25,0.9568965517241379,122
pl_0e92867d04f71e38,,24.0,12.05,5.15,3.0,1.05,0.65,2.05,21
pl_0f04ff87743fb001,,16.434343434343436,5.97979797979798,4.040404040404041,1.6161616161616161,0.898989898989899,0.9595959595959596,1.1616161616161615,111
pl_0f8eac4efb03fbfb,,,,,,,,,1
pl_0ff64046d8bcbd2b,,29.05217391304348,13.939130434782609,8.782608695652174,2.8347826086956522,0.6695652173913044,1.1478260869565218,2.1826086956521737,127
pl_0ffc0c037962ac53,,19.486486486486488,5.283783783783784,2.7432432432432434,1.135135135135135,0.581081081081081,0.5405405405405406,0.8648648648648649,110
pl_10715fa09161fd53,,15.403225806451612,5.17741935483871,1.1451612903225807,1.2419354838709677,0.5645161290322581,0.14516129032258066,0.9032258064516129,82
pl_110f97d39394b907,,11.333333333333334,3.0833333333333335,1.375,0.2916666666666667,0.375,0.25,0.7083333333333334,38
pl_1241fddfc0d9e94c,,23.9009009009009,9.036036036036036,3.126126126126126,4.513513513513513,1.0,0.4864864864864865,1.5315315315315314,111
pl_151b3c88adc161c9,,33.674157303370784,21.685393258426966,8.393258426966293,3.146067415730337,1.7640449438202248,1.4382022471910112,2.1797752808988764,126
pl_156f0548854de70a,,1.5454545454545454,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,23
pl_17342cb9b54ebc79,,24.344827586206897,9.96551724137931,2.7241379310344827,3.6551724137931036,0.9310344827586207,0.20689655172413793,1.7241379310344827,29
pl_17c7158af156f293,,11.961538461538462,3.6538461538461537,3.076923076923077,0.8076923076923077,0.5,0.3076923076923077,0.8461538461538461,27
pl_18104e938de3ccb3,,16.65625,3.03125,2.46875,2.125,0.625,0.21875,0.96875,65
