snapshot_id,snapshot_time_utc,slate_date,event_id,game,player_id,player_name,team,opponent,sportsbook,market,side,line,odds,projection,edge,evidence_score,confidence_tier,display_rank,actual,outcome,closing_line,closing_odds,line_clv,odds_clv_probability,stake_units,profit_units,roi,graded_at_utc,days_since_prediction
e6976bdec9a8bb163e370b96cfdf37e7ac75581298f0151066d03fc711f2ce19,2026-07-29T15:23:15.863633Z,2026-07-29,3b379fa5ab40bebb22d154d8,Atlanta Dream @ Dallas Wings,6c656a4e66e4da991cb298f5,Arike Ogunbowale,,,FanDuel,PRA,OVER,19.5,-114.0,29.4,9.899999999999999,56,LEAN,1,35.0,WIN,,,,,1.0,0.8772,0.8772,2026-08-02T21:59:08.255666Z,4
82100dc00d023e91855163cc1cf2c49cbc148bebfe8a7b3cef41520e6fca363e,2026-08-01T00:08:49.753116Z,2026-07-31,1b25268af7b53a7dad75dc58,Indiana Fever @ Portland Fire,5b8e62e9efeace4f4cc6d6a5,Aliyah Boston,,,DraftKings,PRA,UNDER,29.0,-112.0,18.5,10.5,56,LEAN,1,29.0,PUSH,,,,,1.0,0.0,0.0,2026-08-02T21:59:08.255666Z,2
c741f72216254a5a3903badf44805b6e552ec7c51bed10a9d9a49e95ccb101c2,2026-08-02T20:57:36.615731Z,2026-08-02,c02050e1349a0a323d9ea7f8,Connecticut Sun @ Dallas Wings,6c656a4e66e4da991cb298f5,Arike Ogunbowale,,,FanDuel,PRA,OVER,21.5,-120.0,31.0,9.5,55,LEAN,1,,PENDING,,,,,1.0,,,,0
