candidate_id,player,archive_date,archive_game,stat,side,line,classification,candidate_count,top_candidate_date,top_candidate_game,top_candidate_game_id,top_evidence_score,top_evidence
2026-07-31|rhyne howard|seattle storm @ atlanta dream|pts|under|16.5||-116.0,Rhyne Howard,2026-07-31,Seattle Storm @ Atlanta Dream,PTS,UNDER,16.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: dream | -2 day date drift
2026-07-31|aliyah boston|indiana fever @ portland fire|ra|under|11.5||-115.5,Aliyah Boston,2026-07-31,Indiana Fever @ Portland Fire,RA,UNDER,11.5,low_confidence,2,2026-07-28,Fever @ Storm,401857094,30,matchup tokens: fever | -3 day date drift
2026-07-31|rhyne howard|seattle storm @ atlanta dream|pr|under|21.5||-124.5,Rhyne Howard,2026-07-31,Seattle Storm @ Atlanta Dream,PR,UNDER,21.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: dream | -2 day date drift
2026-07-31|rhyne howard|seattle storm @ atlanta dream|pa|under|20.5||-110.5,Rhyne Howard,2026-07-31,Seattle Storm @ Atlanta Dream,PA,UNDER,20.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: dream | -2 day date drift
2026-07-31|rhyne howard|seattle storm @ atlanta dream|3pm|under|3.5||-175.0,Rhyne Howard,2026-07-31,Seattle Storm @ Atlanta Dream,3PM,UNDER,3.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: dream | -2 day date drift
2026-07-31|paige bueckers|dallas wings @ washington mystics|reb|under|4.5||-165.25,Paige Bueckers,2026-07-31,Dallas Wings @ Washington Mystics,REB,UNDER,4.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: wings | -2 day date drift
2026-07-31|dominique malonga|seattle storm @ atlanta dream|ra|over|9.5||-138.0,Dominique Malonga,2026-07-31,Seattle Storm @ Atlanta Dream,RA,OVER,9.5,low_confidence,1,2026-07-25,TEAM SPOON @ TEAM COOP,401857320,0,
2026-07-31|rhyne howard|seattle storm @ atlanta dream|pra|under|24.5||-107.0,Rhyne Howard,2026-07-31,Seattle Storm @ Atlanta Dream,PRA,UNDER,24.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: dream | -2 day date drift
2026-07-31|angel reese|seattle storm @ atlanta dream|reb|under|12.5||-140.0,Angel Reese,2026-07-31,Seattle Storm @ Atlanta Dream,REB,UNDER,12.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: dream | -2 day date drift
2026-07-31|paige bueckers|dallas wings @ washington mystics|ra|under|10.5||-147.0,Paige Bueckers,2026-07-31,Dallas Wings @ Washington Mystics,RA,UNDER,10.5,low_confidence,2,2026-07-29,Dream @ Wings,401857097,30,matchup tokens: wings | -2 day date drift
