row_number,candidate_id,date,player,game,stat,side,line,outcome,category,reason,existing_grading_reason
199,2026-07-15|kelsey mitchell|golden state valkyries @ indiana fever|pts|over|20.5||-116.0,2026-07-15,Kelsey Mitchell,Golden State Valkyries @ Indiana Fever,PTS,OVER,20.5,LOSS,graded,final outcome LOSS,
200,2026-07-15|kelsey mitchell|golden state valkyries @ indiana fever|pa|over|23.5||-112.0,2026-07-15,Kelsey Mitchell,Golden State Valkyries @ Indiana Fever,PA,OVER,23.5,WIN,graded,final outcome WIN,
201,2026-07-15|kelsey mitchell|golden state valkyries @ indiana fever|pra|over|25.5||-110.5,2026-07-15,Kelsey Mitchell,Golden State Valkyries @ Indiana Fever,PRA,OVER,25.5,LOSS,graded,final outcome LOSS,
202,2026-07-15|natasha cloud|seattle storm @ chicago sky|reb|under|4.5||-173.0,2026-07-15,Natasha Cloud,Seattle Storm @ Chicago Sky,REB,UNDER,4.5,WIN,graded,final outcome WIN,
203,2026-07-15|kelsey mitchell|golden state valkyries @ indiana fever|3pm|over|2.5||-113.8,2026-07-15,Kelsey Mitchell,Golden State Valkyries @ Indiana Fever,3PM,OVER,2.5,WIN,graded,final outcome WIN,
204,2026-07-15|nia coffey|los angeles sparks @ minnesota lynx|pts|under|7.5||-133.0,2026-07-15,Nia Coffey,Los Angeles Sparks @ Minnesota Lynx,PTS,UNDER,7.5,LOSS,graded,final outcome LOSS,
205,2026-07-15|azura stevens|seattle storm @ chicago sky|pts|under|13.5||-130.33,2026-07-15,Azura Stevens,Seattle Storm @ Chicago Sky,PTS,UNDER,13.5,LOSS,graded,final outcome LOSS,
206,2026-07-15|sophie cunningham|golden state valkyries @ indiana fever|reb|under|2.5||-147.0,2026-07-15,Sophie Cunningham,Golden State Valkyries @ Indiana Fever,REB,UNDER,2.5,WIN,graded,final outcome WIN,
207,2026-07-15|natasha cloud|seattle storm @ chicago sky|pts|under|11.5||-128.0,2026-07-15,Natasha Cloud,Seattle Storm @ Chicago Sky,PTS,UNDER,11.5,LOSS,graded,final outcome LOSS,
208,2026-07-15|aliyah boston|golden state valkyries @ indiana fever|pa|over|18.5||-122.0,2026-07-15,Aliyah Boston,Golden State Valkyries @ Indiana Fever,PA,OVER,18.5,LOSS,graded,final outcome LOSS,
209,2026-07-15|azura stevens|seattle storm @ chicago sky|pa|under|16.5||-132.0,2026-07-15,Azura Stevens,Seattle Storm @ Chicago Sky,PA,UNDER,16.5,LOSS,graded,final outcome LOSS,
210,2026-07-15|gabby williams|golden state valkyries @ indiana fever|ast|under|2.5||-187.0,2026-07-15,Gabby Williams,Golden State Valkyries @ Indiana Fever,AST,UNDER,2.5,WIN,graded,final outcome WIN,
211,2026-07-15|natasha cloud|seattle storm @ chicago sky|pr|under|15.5||-117.0,2026-07-15,Natasha Cloud,Seattle Storm @ Chicago Sky,PR,UNDER,15.5,WIN,graded,final outcome WIN,
212,2026-07-15|sabrina ionescu|new york liberty @ dallas wings|ast|under|5.5||-167.67,2026-07-15,Sabrina Ionescu,New York Liberty @ Dallas Wings,AST,UNDER,5.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
213,2026-07-15|azura stevens|seattle storm @ chicago sky|pra|under|24.5||-118.0,2026-07-15,Azura Stevens,Seattle Storm @ Chicago Sky,PRA,UNDER,24.5,LOSS,graded,final outcome LOSS,
214,2026-07-15|aliyah boston|golden state valkyries @ indiana fever|pts|over|15.5||-123.0,2026-07-15,Aliyah Boston,Golden State Valkyries @ Indiana Fever,PTS,OVER,15.5,LOSS,graded,final outcome LOSS,
215,2026-07-15|azura stevens|seattle storm @ chicago sky|pr|under|21.5||-121.0,2026-07-15,Azura Stevens,Seattle Storm @ Chicago Sky,PR,UNDER,21.5,LOSS,graded,final outcome LOSS,
216,2026-07-15|kelsey mitchell|golden state valkyries @ indiana fever|ast|over|2.5||-130.67,2026-07-15,Kelsey Mitchell,Golden State Valkyries @ Indiana Fever,AST,OVER,2.5,WIN,graded,final outcome WIN,
217,2026-07-15|ariel atkins|los angeles sparks @ minnesota lynx|reb|under|3.5||-181.0,2026-07-15,Ariel Atkins,Los Angeles Sparks @ Minnesota Lynx,REB,UNDER,3.5,WIN,graded,final outcome WIN,
