row_number,candidate_id,date,player,game,stat,side,line,outcome,category,reason,existing_grading_reason
294,2026-07-16|dearica hamby|los angeles sparks @ chicago sky|ra|under|10.5||-132.0,2026-07-17,Dearica Hamby,Los Angeles Sparks @ Chicago Sky,RA,UNDER,10.5,WIN,graded,final outcome WIN,
295,2026-07-16|natasha cloud|los angeles sparks @ chicago sky|reb|under|3.5||-166.0,2026-07-17,Natasha Cloud,Los Angeles Sparks @ Chicago Sky,REB,UNDER,3.5,LOSS,graded,final outcome LOSS,
296,2026-07-16|laura juskaite|atlanta dream @ toronto tempo|reb|under|4.5||-162.0,2026-07-17,Laura Juskaite,Atlanta Dream @ Toronto Tempo,REB,UNDER,4.5,WIN,graded,final outcome WIN,
297,2026-07-16|shakira austin|portland fire @ washington mystics|pra|under|27.5||-112.0,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PRA,UNDER,27.5,LOSS,graded,final outcome LOSS,
298,2026-07-16|charlisse leger-walker|connecticut sun @ phoenix mercury|pra|under|15.5||-128.0,2026-07-17,Charlisse Leger-Walker,Connecticut Sun @ Phoenix Mercury,PRA,UNDER,15.5,WIN,graded,final outcome WIN,
299,2026-07-16|rhyne howard|atlanta dream @ toronto tempo|pra|under|26.5||-112.5,2026-07-17,Rhyne Howard,Atlanta Dream @ Toronto Tempo,PRA,UNDER,26.5,WIN,graded,final outcome WIN,
300,2026-07-16|rhyne howard|atlanta dream @ toronto tempo|pr|under|23.5||-124.5,2026-07-17,Rhyne Howard,Atlanta Dream @ Toronto Tempo,PR,UNDER,23.5,WIN,graded,final outcome WIN,
301,2026-07-16|courtney vandersloot|los angeles sparks @ chicago sky|pra|under|15.5||-115.0,2026-07-17,Courtney Vandersloot,Los Angeles Sparks @ Chicago Sky,PRA,UNDER,15.5,WIN,graded,final outcome WIN,
302,2026-07-16|charlisse leger-walker|connecticut sun @ phoenix mercury|pr|under|11.5||-111.0,2026-07-17,Charlisse Leger-Walker,Connecticut Sun @ Phoenix Mercury,PR,UNDER,11.5,WIN,graded,final outcome WIN,
303,2026-07-16|georgia amoore|portland fire @ washington mystics|pa|under|10.5||-124.0,2026-07-16,Georgia Amoore,Portland Fire @ Washington Mystics,PA,UNDER,10.5,WIN,graded,final outcome WIN,
304,2026-07-16|caitlin clark|seattle storm @ indiana fever|3pm|under|2.5||-163.5,2026-07-17,Caitlin Clark,Seattle Storm @ Indiana Fever,3PM,UNDER,2.5,LOSS,graded,final outcome LOSS,
305,2026-07-16|paige bueckers|new york liberty @ dallas wings|ast|under|6.5||-131.33,2026-07-16,Paige Bueckers,New York Liberty @ Dallas Wings,AST,UNDER,6.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
306,2026-07-16|charlisse leger-walker|connecticut sun @ phoenix mercury|ast|under|3.5||-138.5,2026-07-17,Charlisse Leger-Walker,Connecticut Sun @ Phoenix Mercury,AST,UNDER,3.5,LOSS,graded,final outcome LOSS,
307,2026-07-16|monique billings|seattle storm @ indiana fever|reb|under|5.5||-158.0,2026-07-17,Monique Billings,Seattle Storm @ Indiana Fever,REB,UNDER,5.5,WIN,graded,final outcome WIN,
308,2026-07-16|kamilla cardoso|los angeles sparks @ chicago sky|pra|under|26.5||-122.0,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,PRA,UNDER,26.5,LOSS,graded,final outcome LOSS,
309,2026-07-16|sarah ashlee barker|portland fire @ washington mystics|3pm|under|1.5||-224.0,2026-07-16,Sarah Ashlee Barker,Portland Fire @ Washington Mystics,3PM,UNDER,1.5,LOSS,graded,final outcome LOSS,
310,2026-07-16|kamilla cardoso|los angeles sparks @ chicago sky|pr|under|23.5||-118.0,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,PR,UNDER,23.5,LOSS,graded,final outcome LOSS,
311,2026-07-17|monique akoa makani|connecticut sun @ phoenix mercury|reb|under|3.5||-166.5,2026-07-17,Monique Akoa Makani,Connecticut Sun @ Phoenix Mercury,REB,UNDER,3.5,WIN,graded,final outcome WIN,
312,2026-07-17|monique akoa makani|connecticut sun @ phoenix mercury|ra|under|6.5||102.0,2026-07-17,Monique Akoa Makani,Connecticut Sun @ Phoenix Mercury,RA,UNDER,6.5,WIN,graded,final outcome WIN,
313,2026-07-17|kelsey mitchell|seattle storm @ indiana fever|3pm|over|2.5||-127.4,2026-07-17,Kelsey Mitchell,Seattle Storm @ Indiana Fever,3PM,OVER,2.5,WIN,graded,final outcome WIN,
314,2026-07-17|kelsey mitchell|seattle storm @ indiana fever|ast|over|2.5||-145.5,2026-07-17,Kelsey Mitchell,Seattle Storm @ Indiana Fever,AST,OVER,2.5,LOSS,graded,final outcome LOSS,
315,2026-07-17|sydney taylor|los angeles sparks @ chicago sky|pa|under|18.5||-115.0,2026-07-17,Sydney Taylor,Los Angeles Sparks @ Chicago Sky,PA,UNDER,18.5,LOSS,graded,final outcome LOSS,
316,2026-07-17|nneka ogwumike|los angeles sparks @ chicago sky|ast|over|2.5||-154.0,2026-07-17,Nneka Ogwumike,Los Angeles Sparks @ Chicago Sky,AST,OVER,2.5,WIN,graded,final outcome WIN,
317,2026-07-17|kahleah copper|connecticut sun @ phoenix mercury|ast|under|2.5||-185.0,2026-07-17,Kahleah Copper,Connecticut Sun @ Phoenix Mercury,AST,UNDER,2.5,WIN,graded,final outcome WIN,
318,2026-07-17|kayla mcbride|portland fire @ minnesota lynx|pts|over|18.5||-111.0,2026-07-18,Kayla McBride,Portland Fire @ Minnesota Lynx,PTS,OVER,18.5,WIN,graded,final outcome WIN,
319,2026-07-17|kayla mcbride|portland fire @ minnesota lynx|pra|over|23.5||-128.0,2026-07-18,Kayla McBride,Portland Fire @ Minnesota Lynx,PRA,OVER,23.5,WIN,graded,final outcome WIN,
320,2026-07-17|kayla mcbride|portland fire @ minnesota lynx|pa|over|20.5||-119.0,2026-07-18,Kayla McBride,Portland Fire @ Minnesota Lynx,PA,OVER,20.5,WIN,graded,final outcome WIN,
321,2026-07-17|kayla mcbride|portland fire @ minnesota lynx|pr|over|21.5||-119.0,2026-07-18,Kayla McBride,Portland Fire @ Minnesota Lynx,PR,OVER,21.5,WIN,graded,final outcome WIN,
322,2026-07-17|natisha hiedeman|seattle storm @ indiana fever|ast|under|4.5||-150.0,2026-07-17,Natisha Hiedeman,Seattle Storm @ Indiana Fever,AST,UNDER,4.5,LOSS,graded,final outcome LOSS,
323,2026-07-17|nneka ogwumike|los angeles sparks @ chicago sky|pts|over|16.5||-127.0,2026-07-17,Nneka Ogwumike,Los Angeles Sparks @ Chicago Sky,PTS,OVER,16.5,WIN,graded,final outcome WIN,
324,2026-07-17|kayla mcbride|portland fire @ minnesota lynx|pra|over|24.5||-112.0,2026-07-18,Kayla McBride,Portland Fire @ Minnesota Lynx,PRA,OVER,24.5,WIN,graded,final outcome WIN,
325,2026-07-17|kamilla cardoso|los angeles sparks @ chicago sky|reb|under|9.5||-139.5,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,REB,UNDER,9.5,LOSS,graded,final outcome LOSS,
326,2026-07-17|rhyne howard|atlanta dream @ toronto tempo|pa|under|22.5||-110.5,2026-07-17,Rhyne Howard,Atlanta Dream @ Toronto Tempo,PA,UNDER,22.5,WIN,graded,final outcome WIN,
327,2026-07-17|naz hillmon|atlanta dream @ toronto tempo|3pm|under|1.5||-243.33,2026-07-17,Naz Hillmon,Atlanta Dream @ Toronto Tempo,3PM,UNDER,1.5,LOSS,graded,final outcome LOSS,
328,2026-07-17|natasha cloud|los angeles sparks @ chicago sky|pra|under|21.5||-124.0,2026-07-17,Natasha Cloud,Los Angeles Sparks @ Chicago Sky,PRA,UNDER,21.5,LOSS,graded,final outcome LOSS,
329,2026-07-17|courtney vandersloot|los angeles sparks @ chicago sky|pra|under|16.5||-116.5,2026-07-17,Courtney Vandersloot,Los Angeles Sparks @ Chicago Sky,PRA,UNDER,16.5,WIN,graded,final outcome WIN,
330,2026-07-17|courtney williams|portland fire @ minnesota lynx|pra|under|26.5||-107.5,2026-07-18,Courtney Williams,Portland Fire @ Minnesota Lynx,PRA,UNDER,26.5,WIN,graded,final outcome WIN,
331,2026-07-17|courtney vandersloot|los angeles sparks @ chicago sky|ra|under|7.5||-131.0,2026-07-17,Courtney Vandersloot,Los Angeles Sparks @ Chicago Sky,RA,UNDER,7.5,WIN,graded,final outcome WIN,
332,2026-07-17|natasha cloud|los angeles sparks @ chicago sky|ra|under|9.5||-118.0,2026-07-17,Natasha Cloud,Los Angeles Sparks @ Chicago Sky,RA,UNDER,9.5,LOSS,graded,final outcome LOSS,
333,2026-07-17|monique billings|seattle storm @ indiana fever|reb|under|6.5||-144.67,2026-07-17,Monique Billings,Seattle Storm @ Indiana Fever,REB,UNDER,6.5,WIN,graded,final outcome WIN,
334,2026-07-17|gabby williams|washington mystics @ golden state valkyries|reb|under|3.5||-184.5,2026-07-18,Gabby Williams,Washington Mystics @ Golden State Valkyries,REB,UNDER,3.5,WIN,graded,final outcome WIN,
335,2026-07-17|kamilla cardoso|los angeles sparks @ chicago sky|ra|under|11.5||-2.0,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,RA,UNDER,11.5,LOSS,graded,final outcome LOSS,
336,2026-07-17|nneka ogwumike|los angeles sparks @ chicago sky|pa|over|20.5||-112.0,2026-07-17,Nneka Ogwumike,Los Angeles Sparks @ Chicago Sky,PA,OVER,20.5,WIN,graded,final outcome WIN,
337,2026-07-17|rhyne howard|atlanta dream @ toronto tempo|pts|under|19.5||-122.67,2026-07-17,Rhyne Howard,Atlanta Dream @ Toronto Tempo,PTS,UNDER,19.5,WIN,graded,final outcome WIN,
338,2026-07-17|kamilla cardoso|los angeles sparks @ chicago sky|reb|under|8.5||108.0,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,REB,UNDER,8.5,LOSS,graded,final outcome LOSS,
339,2026-07-17|dominique malonga|seattle storm @ indiana fever|pts|under|17.5||-128.33,2026-07-17,Dominique Malonga,Seattle Storm @ Indiana Fever,PTS,UNDER,17.5,LOSS,graded,final outcome LOSS,
340,2026-07-17|allisha gray|atlanta dream @ toronto tempo|reb|under|3.5||-137.33,2026-07-17,Allisha Gray,Atlanta Dream @ Toronto Tempo,REB,UNDER,3.5,WIN,graded,final outcome WIN,
341,2026-07-17|courtney vandersloot|los angeles sparks @ chicago sky|pr|under|11.5||-113.0,2026-07-17,Courtney Vandersloot,Los Angeles Sparks @ Chicago Sky,PR,UNDER,11.5,WIN,graded,final outcome WIN,
342,2026-07-17|nneka ogwumike|los angeles sparks @ chicago sky|pra|over|28.5||-124.0,2026-07-17,Nneka Ogwumike,Los Angeles Sparks @ Chicago Sky,PRA,OVER,28.5,WIN,graded,final outcome WIN,
343,2026-07-17|courtney vandersloot|los angeles sparks @ chicago sky|pts|under|8.5||-35.67,2026-07-17,Courtney Vandersloot,Los Angeles Sparks @ Chicago Sky,PTS,UNDER,8.5,LOSS,graded,final outcome LOSS,
344,2026-07-17|nneka ogwumike|los angeles sparks @ chicago sky|pts|over|17.5||-120.33,2026-07-17,Nneka Ogwumike,Los Angeles Sparks @ Chicago Sky,PTS,OVER,17.5,WIN,graded,final outcome WIN,
345,2026-07-17|natasha cloud|los angeles sparks @ chicago sky|reb|under|3.5||-129.5,2026-07-17,Natasha Cloud,Los Angeles Sparks @ Chicago Sky,REB,UNDER,3.5,LOSS,graded,final outcome LOSS,
346,2026-07-17|dearica hamby|los angeles sparks @ chicago sky|ra|under|10.5||-144.0,2026-07-17,Dearica Hamby,Los Angeles Sparks @ Chicago Sky,RA,UNDER,10.5,WIN,graded,final outcome WIN,
347,2026-07-17|sabrina ionescu|new york liberty @ indiana fever|ast|over|4.5||-144.5,2026-07-18,Sabrina Ionescu,New York Liberty @ Indiana Fever,AST,OVER,4.5,LOSS,graded,final outcome LOSS,
348,2026-07-17|janelle salaun|washington mystics @ golden state valkyries|pts|over|11.5||-125.0,2026-07-18,Janelle Salaun,Washington Mystics @ Golden State Valkyries,PTS,OVER,11.5,LOSS,graded,final outcome LOSS,
349,2026-07-17|rhyne howard|atlanta dream @ toronto tempo|pra|under|26.5||-107.5,2026-07-17,Rhyne Howard,Atlanta Dream @ Toronto Tempo,PRA,UNDER,26.5,WIN,graded,final outcome WIN,
350,2026-07-17|rhyne howard|atlanta dream @ toronto tempo|pr|under|23.5||-121.0,2026-07-17,Rhyne Howard,Atlanta Dream @ Toronto Tempo,PR,UNDER,23.5,WIN,graded,final outcome WIN,
351,2026-07-17|charlisse leger-walker|connecticut sun @ phoenix mercury|pra|under|15.5||-131.5,2026-07-17,Charlisse Leger-Walker,Connecticut Sun @ Phoenix Mercury,PRA,UNDER,15.5,WIN,graded,final outcome WIN,
352,2026-07-17|georgia amoore|washington mystics @ golden state valkyries|pa|under|9.5||-130.0,2026-07-18,Georgia Amoore,Washington Mystics @ Golden State Valkyries,PA,UNDER,9.5,LOSS,graded,final outcome LOSS,
353,2026-07-17|charlisse leger-walker|connecticut sun @ phoenix mercury|pr|under|11.5||-112.0,2026-07-17,Charlisse Leger-Walker,Connecticut Sun @ Phoenix Mercury,PR,UNDER,11.5,WIN,graded,final outcome WIN,
354,2026-07-17|georgia amoore|washington mystics @ golden state valkyries|pra|under|10.5||-112.0,2026-07-18,Georgia Amoore,Washington Mystics @ Golden State Valkyries,PRA,UNDER,10.5,LOSS,graded,final outcome LOSS,
355,2026-07-17|nyara sabally|atlanta dream @ toronto tempo|reb|under|4.5||-116.5,2026-07-17,Nyara Sabally,Atlanta Dream @ Toronto Tempo,REB,UNDER,4.5,WIN,graded,final outcome WIN,
356,2026-07-17|caitlin clark|seattle storm @ indiana fever|3pm|under|2.5||-152.0,2026-07-17,Caitlin Clark,Seattle Storm @ Indiana Fever,3PM,UNDER,2.5,LOSS,graded,final outcome LOSS,
357,2026-07-17|caitlin clark|seattle storm @ indiana fever|ast|under|7.5||-153.0,2026-07-17,Caitlin Clark,Seattle Storm @ Indiana Fever,AST,UNDER,7.5,LOSS,graded,final outcome LOSS,
358,2026-07-17|kamilla cardoso|los angeles sparks @ chicago sky|pra|under|27.5||-129.0,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,PRA,UNDER,27.5,WIN,graded,final outcome WIN,
359,2026-07-17|charlisse leger-walker|connecticut sun @ phoenix mercury|ast|under|3.5||-139.33,2026-07-17,Charlisse Leger-Walker,Connecticut Sun @ Phoenix Mercury,AST,UNDER,3.5,LOSS,graded,final outcome LOSS,
360,2026-07-17|kamilla cardoso|los angeles sparks @ chicago sky|pra|under|26.5||-104.0,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,PRA,UNDER,26.5,LOSS,graded,final outcome LOSS,
361,2026-07-17|kamilla cardoso|los angeles sparks @ chicago sky|pr|under|24.5||-122.5,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,PR,UNDER,24.5,WIN,graded,final outcome WIN,
362,2026-07-17|kamilla cardoso|los angeles sparks @ chicago sky|pts|under|15.5||-129.0,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,PTS,UNDER,15.5,WIN,graded,final outcome WIN,
363,2026-07-17|caitlin clark|seattle storm @ indiana fever|pra|under|29.5||-109.0,2026-07-17,Caitlin Clark,Seattle Storm @ Indiana Fever,PRA,UNDER,29.5,LOSS,graded,final outcome LOSS,
364,2026-07-17|veronica burton|washington mystics @ golden state valkyries|ra|over|7.5||-144.0,2026-07-18,Veronica Burton,Washington Mystics @ Golden State Valkyries,RA,OVER,7.5,WIN,graded,final outcome WIN,
365,2026-07-17|caitlin clark|seattle storm @ indiana fever|pr|under|22.5||-117.0,2026-07-17,Caitlin Clark,Seattle Storm @ Indiana Fever,PR,UNDER,22.5,LOSS,graded,final outcome LOSS,
366,2026-07-17|caitlin clark|seattle storm @ indiana fever|pa|under|25.5||-116.5,2026-07-17,Caitlin Clark,Seattle Storm @ Indiana Fever,PA,UNDER,25.5,LOSS,graded,final outcome LOSS,
367,2026-07-17|caitlin clark|seattle storm @ indiana fever|pts|under|18.5||-124.0,2026-07-17,Caitlin Clark,Seattle Storm @ Indiana Fever,PTS,UNDER,18.5,LOSS,graded,final outcome LOSS,
368,2026-07-18|kayla mcbride|portland fire @ minnesota lynx|pts|over|17.5||-120.75,2026-07-18,Kayla McBride,Portland Fire @ Minnesota Lynx,PTS,OVER,17.5,WIN,graded,final outcome WIN,
369,2026-07-18|serah williams|portland fire @ minnesota lynx|reb|under|5.5||-146.0,2026-07-18,Serah Williams,Portland Fire @ Minnesota Lynx,REB,UNDER,5.5,WIN,graded,final outcome WIN,
370,2026-07-18|kelsey mitchell|new york liberty @ indiana fever|3pm|over|2.5||-129.6,2026-07-18,Kelsey Mitchell,New York Liberty @ Indiana Fever,3PM,OVER,2.5,WIN,graded,final outcome WIN,
371,2026-07-18|kelsey mitchell|new york liberty @ indiana fever|ast|over|2.5||-161.33,2026-07-18,Kelsey Mitchell,New York Liberty @ Indiana Fever,AST,OVER,2.5,LOSS,graded,final outcome LOSS,
372,2026-07-18|nia coffey|portland fire @ minnesota lynx|pr|under|13.5||-124.5,2026-07-18,Nia Coffey,Portland Fire @ Minnesota Lynx,PR,UNDER,13.5,WIN,graded,final outcome WIN,
373,2026-07-18|kayla mcbride|portland fire @ minnesota lynx|pra|over|23.5||-113.67,2026-07-18,Kayla McBride,Portland Fire @ Minnesota Lynx,PRA,OVER,23.5,WIN,graded,final outcome WIN,
374,2026-07-18|nia coffey|portland fire @ minnesota lynx|pra|under|15.5||-126.0,2026-07-18,Nia Coffey,Portland Fire @ Minnesota Lynx,PRA,UNDER,15.5,WIN,graded,final outcome WIN,
375,2026-07-18|kayla mcbride|portland fire @ minnesota lynx|pr|over|20.5||-127.0,2026-07-18,Kayla McBride,Portland Fire @ Minnesota Lynx,PR,OVER,20.5,WIN,graded,final outcome WIN,
376,2026-07-18|kayla mcbride|portland fire @ minnesota lynx|pa|over|19.5||-125.0,2026-07-18,Kayla McBride,Portland Fire @ Minnesota Lynx,PA,OVER,19.5,WIN,graded,final outcome WIN,
377,2026-07-18|gabby williams|washington mystics @ golden state valkyries|ast|under|2.5||-181.0,2026-07-18,Gabby Williams,Washington Mystics @ Golden State Valkyries,AST,UNDER,2.5,LOSS,graded,final outcome LOSS,
378,2026-07-18|sabrina ionescu|new york liberty @ indiana fever|ast|under|5.5||-152.33,2026-07-18,Sabrina Ionescu,New York Liberty @ Indiana Fever,AST,UNDER,5.5,WIN,graded,final outcome WIN,
379,2026-07-18|naz hillmon|chicago sky @ atlanta dream|3pm|under|1.5||-185.0,2026-07-19,Naz Hillmon,Chicago Sky @ Atlanta Dream,3PM,UNDER,1.5,WIN,graded,final outcome WIN,
380,2026-07-18|natasha cloud|chicago sky @ atlanta dream|pr|under|15.5||-127.0,2026-07-19,Natasha Cloud,Chicago Sky @ Atlanta Dream,PR,UNDER,15.5,WIN,graded,final outcome WIN,
381,2026-07-18|sydney taylor|chicago sky @ atlanta dream|pa|under|17.5||-125.0,2026-07-19,Sydney Taylor,Chicago Sky @ Atlanta Dream,PA,UNDER,17.5,LOSS,graded,final outcome LOSS,
382,2026-07-18|natasha cloud|chicago sky @ atlanta dream|pra|under|21.5||-124.0,2026-07-19,Natasha Cloud,Chicago Sky @ Atlanta Dream,PRA,UNDER,21.5,WIN,graded,final outcome WIN,
383,2026-07-18|olivia miles|portland fire @ minnesota lynx|pts|over|17.5||-129.5,2026-07-18,Olivia Miles,Portland Fire @ Minnesota Lynx,PTS,OVER,17.5,LOSS,graded,final outcome LOSS,
384,2026-07-18|natasha cloud|chicago sky @ atlanta dream|ra|under|9.5||-130.5,2026-07-19,Natasha Cloud,Chicago Sky @ Atlanta Dream,RA,UNDER,9.5,WIN,graded,final outcome WIN,
385,2026-07-18|nia coffey|portland fire @ minnesota lynx|reb|under|5.5||-147.33,2026-07-18,Nia Coffey,Portland Fire @ Minnesota Lynx,REB,UNDER,5.5,WIN,graded,final outcome WIN,
386,2026-07-18|gabby williams|washington mystics @ golden state valkyries|reb|under|3.5||-179.67,2026-07-18,Gabby Williams,Washington Mystics @ Golden State Valkyries,REB,UNDER,3.5,WIN,graded,final outcome WIN,
387,2026-07-18|azzi fudd|los angeles sparks @ dallas wings|pts|under|14.5||-111.0,2026-07-19,Azzi Fudd,Los Angeles Sparks @ Dallas Wings,PTS,UNDER,14.5,WIN,graded,final outcome WIN,
388,2026-07-18|courtney williams|portland fire @ minnesota lynx|pra|under|25.5||-112.0,2026-07-18,Courtney Williams,Portland Fire @ Minnesota Lynx,PRA,UNDER,25.5,WIN,graded,final outcome WIN,
389,2026-07-18|caitlin clark|new york liberty @ indiana fever|ast|under|8.5||-148.33,2026-07-18,Caitlin Clark,New York Liberty @ Indiana Fever,AST,UNDER,8.5,WIN,graded,final outcome WIN,
390,2026-07-18|nneka ogwumike|los angeles sparks @ dallas wings|pa|over|20.5||-129.0,2026-07-19,Nneka Ogwumike,Los Angeles Sparks @ Dallas Wings,PA,OVER,20.5,LOSS,graded,final outcome LOSS,
391,2026-07-18|nneka ogwumike|los angeles sparks @ dallas wings|pts|over|17.5||-113.5,2026-07-19,Nneka Ogwumike,Los Angeles Sparks @ Dallas Wings,PTS,OVER,17.5,LOSS,graded,final outcome LOSS,
392,2026-07-18|allisha gray|chicago sky @ atlanta dream|reb|under|3.5||-168.5,2026-07-19,Allisha Gray,Chicago Sky @ Atlanta Dream,REB,UNDER,3.5,LOSS,graded,final outcome LOSS,
393,2026-07-18|kaitlyn chen|washington mystics @ golden state valkyries|pts|over|7.5||-126.5,2026-07-18,Kaitlyn Chen,Washington Mystics @ Golden State Valkyries,PTS,OVER,7.5,LOSS,graded,final outcome LOSS,
394,2026-07-18|courtney williams|portland fire @ minnesota lynx|ast|under|4.5||-160.33,2026-07-18,Courtney Williams,Portland Fire @ Minnesota Lynx,AST,UNDER,4.5,LOSS,graded,final outcome LOSS,
395,2026-07-18|kamilla cardoso|chicago sky @ atlanta dream|reb|under|8.5||-154.0,2026-07-19,Kamilla Cardoso,Chicago Sky @ Atlanta Dream,REB,UNDER,8.5,WIN,graded,final outcome WIN,
396,2026-07-18|natasha howard|portland fire @ minnesota lynx|pts|under|16.5||-121.0,2026-07-18,Natasha Howard,Portland Fire @ Minnesota Lynx,PTS,UNDER,16.5,WIN,graded,final outcome WIN,
397,2026-07-18|natasha cloud|chicago sky @ atlanta dream|reb|under|3.5||-130.0,2026-07-19,Natasha Cloud,Chicago Sky @ Atlanta Dream,REB,UNDER,3.5,WIN,graded,final outcome WIN,
398,2026-07-18|janelle salaun|washington mystics @ golden state valkyries|pts|over|11.5||-126.25,2026-07-18,Janelle Salaun,Washington Mystics @ Golden State Valkyries,PTS,OVER,11.5,LOSS,graded,final outcome LOSS,
399,2026-07-18|georgia amoore|washington mystics @ golden state valkyries|pra|under|10.5||-132.0,2026-07-18,Georgia Amoore,Washington Mystics @ Golden State Valkyries,PRA,UNDER,10.5,LOSS,graded,final outcome LOSS,
400,2026-07-18|allisha gray|chicago sky @ atlanta dream|pts|over|18.5||-126.5,2026-07-19,Allisha Gray,Chicago Sky @ Atlanta Dream,PTS,OVER,18.5,WIN,graded,final outcome WIN,
401,2026-07-18|caitlin clark|new york liberty @ indiana fever|3pm|under|2.5||-195.33,2026-07-18,Caitlin Clark,New York Liberty @ Indiana Fever,3PM,UNDER,2.5,WIN,graded,final outcome WIN,
402,2026-07-18|caitlin clark|new york liberty @ indiana fever|pra|under|30.5||-128.0,2026-07-18,Caitlin Clark,New York Liberty @ Indiana Fever,PRA,UNDER,30.5,WIN,graded,final outcome WIN,
403,2026-07-18|caitlin clark|new york liberty @ indiana fever|pra|under|29.5||-107.0,2026-07-18,Caitlin Clark,New York Liberty @ Indiana Fever,PRA,UNDER,29.5,WIN,graded,final outcome WIN,
404,2026-07-18|veronica burton|washington mystics @ golden state valkyries|ra|over|7.5||-146.0,2026-07-18,Veronica Burton,Washington Mystics @ Golden State Valkyries,RA,OVER,7.5,WIN,graded,final outcome WIN,
405,2026-07-18|caitlin clark|new york liberty @ indiana fever|pr|under|21.5||-112.5,2026-07-18,Caitlin Clark,New York Liberty @ Indiana Fever,PR,UNDER,21.5,WIN,graded,final outcome WIN,
406,2026-07-18|caitlin clark|new york liberty @ indiana fever|pa|under|25.5||-105.5,2026-07-18,Caitlin Clark,New York Liberty @ Indiana Fever,PA,UNDER,25.5,WIN,graded,final outcome WIN,
407,2026-07-19|nia coffey|minnesota lynx @ seattle storm|pr|under|14.5||-133.0,2026-07-20,Nia Coffey,Minnesota Lynx @ Seattle Storm,PR,UNDER,14.5,WIN,graded,final outcome WIN,
408,2026-07-19|rhyne howard|chicago sky @ atlanta dream|pa|under|22.5||-127.0,2026-07-19,Rhyne Howard,Chicago Sky @ Atlanta Dream,PA,UNDER,22.5,WIN,graded,final outcome WIN,
409,2026-07-19|nia coffey|minnesota lynx @ seattle storm|pra|under|16.5||-118.0,2026-07-20,Nia Coffey,Minnesota Lynx @ Seattle Storm,PRA,UNDER,16.5,WIN,graded,final outcome WIN,
410,2026-07-19|kayla mcbride|minnesota lynx @ seattle storm|pts|over|18.5||-112.0,2026-07-20,Kayla McBride,Minnesota Lynx @ Seattle Storm,PTS,OVER,18.5,WIN,graded,final outcome WIN,
411,2026-07-19|kayla mcbride|minnesota lynx @ seattle storm|pr|over|21.5||-120.5,2026-07-20,Kayla McBride,Minnesota Lynx @ Seattle Storm,PR,OVER,21.5,WIN,graded,final outcome WIN,
412,2026-07-19|nia coffey|minnesota lynx @ seattle storm|pr|under|13.5||102.0,2026-07-20,Nia Coffey,Minnesota Lynx @ Seattle Storm,PR,UNDER,13.5,WIN,graded,final outcome WIN,
413,2026-07-19|kayla mcbride|minnesota lynx @ seattle storm|pa|over|20.5||-124.0,2026-07-20,Kayla McBride,Minnesota Lynx @ Seattle Storm,PA,OVER,20.5,WIN,graded,final outcome WIN,
414,2026-07-19|kayla mcbride|minnesota lynx @ seattle storm|pra|over|23.5||-129.0,2026-07-20,Kayla McBride,Minnesota Lynx @ Seattle Storm,PRA,OVER,23.5,WIN,graded,final outcome WIN,
415,2026-07-19|courtney williams|minnesota lynx @ seattle storm|pra|under|26.5||-130.0,2026-07-20,Courtney Williams,Minnesota Lynx @ Seattle Storm,PRA,UNDER,26.5,LOSS,graded,final outcome LOSS,
416,2026-07-19|nia coffey|minnesota lynx @ seattle storm|reb|under|5.5||-125.5,2026-07-20,Nia Coffey,Minnesota Lynx @ Seattle Storm,REB,UNDER,5.5,WIN,graded,final outcome WIN,
417,2026-07-19|natasha mack|connecticut sun @ phoenix mercury|ra|over|7.5||-148.0,2026-07-19,Natasha Mack,Connecticut Sun @ Phoenix Mercury,RA,OVER,7.5,LOSS,graded,final outcome LOSS,
418,2026-07-19|natasha mack|connecticut sun @ phoenix mercury|reb|over|6.5||-110.2,2026-07-19,Natasha Mack,Connecticut Sun @ Phoenix Mercury,REB,OVER,6.5,LOSS,graded,final outcome LOSS,
419,2026-07-19|olivia miles|minnesota lynx @ seattle storm|3pm|over|0.5||-243.0,2026-07-20,Olivia Miles,Minnesota Lynx @ Seattle Storm,3PM,OVER,0.5,WIN,graded,final outcome WIN,
420,2026-07-19|monique akoa makani|connecticut sun @ phoenix mercury|reb|under|2.5||-150.0,2026-07-19,Monique Akoa Makani,Connecticut Sun @ Phoenix Mercury,REB,UNDER,2.5,LOSS,graded,final outcome LOSS,
421,2026-07-19|kayla mcbride|minnesota lynx @ seattle storm|pra|over|24.5||-110.0,2026-07-20,Kayla McBride,Minnesota Lynx @ Seattle Storm,PRA,OVER,24.5,WIN,graded,final outcome WIN,
